,Campus,TAKS_math_gr3,TAKS_reading_gr3,TAKS_math_gr4,TAKS_reading_gr4,TAKS_math_gr5,TAKS_reading_gr5,TAKS_part,Year
0,001902001,-1,-1,-1,-1,-1,-1,100,2010
1,001902001,-1,-1,-1,-1,-1,-1,89.7,2009
2,001902001,-1,-1,-1,-1,-1,-1,89.8,2005
3,001902001,-1,-1,-1,-1,-1,-1,91.1,2011
4,001902001,-1,-1,-1,-1,-1,-1,91.6,2008
5,001902001,-1,-1,-1,-1,-1,-1,91.8,2007
6,001902001,-1,-1,-1,-1,-1,-1,93.2,2006
7,001902001,.,.,.,.,.,.,81.2,2003
8,001902001,.,.,.,.,.,.,86.7,2004
9,001902041,-1,-1,-1,-1,-1,-1,100,2010
10,001902041,-1,-1,-1,-1,-1,-1,86.4,2011
11,001902041,-1,-1,-1,-1,-1,-1,88.4,2007
12,001902041,-1,-1,-1,-1,-1,-1,89.3,2005
13,001902041,-1,-1,-1,-1,-1,-1,89.7,2008
14,001902041,-1,-1,-1,-1,-1,-1,90.5,2009
15,001902041,-1,-1,-1,-1,-1,-1,92.5,2006
16,001902041,.,.,.,.,.,.,85.6,2004
17,001902041,.,.,.,.,.,.,99.2,2003
18,001902103,.,.,97,.,98,.,90.3,2004
19,001902103,100,100,95.2,92.7,92.5,92.5,98.6,2003
20,001902103,91,-4,86,76,-4,97,89.7,2005
21,001902103,92,96,90,98,93,91,88.7,2011
22,001902103,93,95,-4,96,98,98,86.2,2008
23,001902103,96,91,-4,95,91,93,100,2010
24,001902103,97,-4,92,97,-4,94,86.6,2006
25,001902103,97,-4,97,97,95,86,90.7,2007
26,001902103,97,-4,97,97,97,94,87.8,2009
27,001903001,-1,-1,-1,-1,-1,-1,78.7,2005
28,001903001,-1,-1,-1,-1,-1,-1,78.7,2007
29,001903001,-1,-1,-1,-1,-1,-1,79.2,2006
30,001903001,-1,-1,-1,-1,-1,-1,80.4,2008
31,001903001,-1,-1,-1,-1,-1,-1,83.7,2009
32,001903001,-1,-1,-1,-1,-1,-1,88.6,2011
33,001903001,-1,-1,-1,-1,-1,-1,99.3,2010
34,001903001,.,.,.,.,.,.,82.8,2004
35,001903001,.,.,.,.,.,.,83.1,2003
36,001903002,.,.,.,.,.,.,.,2005
37,001903002,.,.,.,.,.,.,.,2006
38,001903041,-1,-1,-1,-1,-1,-1,100,2010
39,001903041,-1,-1,-1,-1,-1,-1,79.1,2005
40,001903041,-1,-1,-1,-1,-1,-1,85.6,2006
41,001903041,-1,-1,-1,-1,-1,-1,88.6,2007
42,001903041,-1,-1,-1,-1,-1,-1,88.9,2009
43,001903041,-1,-1,-1,-1,-1,-1,91.6,2008
44,001903041,-1,-1,-1,-1,-1,-1,92.1,2011
