,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
001902001,9051,6694,0
001902041,5451,4325,0
001902103,5553,4829,0
001903001,8115,5455,59
001903041,5535,4633,54
001903101,4233,3689,42
001904001,7076,4929,0
001904041,6441,4815,0
001904102,6521,5591,0
001906002,8053,5039,0
001906102,5438,3986,0
001907001,8687,5582,218
001907041,6271,4779,74
001907101,5914,4863,75
001907107,5244,4261,47
001907110,5571,4368,70
001908002,6418,4907,0
001908041,7107,5496,0
001908101,4404,3332,0
001908102,4037,3129,0
001909001,6154,5084,0
001909101,6333,5558,0
002901001,9283,5679,112
002901002,14355,13952,226
002901041,7470,5152,144
002901101,7539,5495,181
002901104,7846,5646,199
002901105,6653,5028,147
003801001,6007,4862,0
003801103,.,.,.
003902001,6478,4638,43
003902004,63670,36825,0
003902041,5000,4061,26
003902101,4335,3576,38
003902102,4607,3926,33
003903001,6852,4504,272
003903004,.,.,.
003903044,5591,4053,161
003903120,6171,4334,96
003903121,6263,4491,160
003903122,7410,5258,140
003903123,6471,4696,101
003903124,5996,4522,69
003903125,4804,3704,104
003903126,4698,3391,64
003903127,6097,4513,202
003903128,6319,4812,128
003903129,4928,3753,88
003903130,5739,4519,77
003903131,.,.,.
003903140,.,.,.
003903201,5540,5540,0
003904001,6355,4433,72
003904005,4337,3360,803
003904041,6300,4628,103
003904101,4794,3650,58
003904102,5608,3930,76
003905001,8344,5274,130
003905004,.,.,.
003905005,10351,10181,81
003905041,6808,4447,98
003905101,5541,4145,92
003905102,5595,3969,124
003906001,7806,5723,0
003906004,.,.,.
003906101,6261,5072,0
003907001,7064,5341,273
003907004,1,1,0
003907041,5891,4440,216
003907102,5230,4203,196
004901001,7352,5362,56
004901041,6566,4857,87
004901101,7514,5849,95
004901102,7598,5818,95
004901103,6113,4875,51
005901001,10872,7692,0
005901101,6209,4912,0
005902001,8876,5712,0
005902041,4516,3838,0
005902101,4128,3566,0
005904001,7156,4995,0
005904041,.,.,.
005904101,5316,4576,0
006902001,8246,6307,0
006902101,8253,6796,0
007901001,8605,7036,21
007901002,.,.,.
007901003,.,.,.
007901041,6156,4904,25
007901101,6299,5472,12
007902001,10139,5955,79
007902002,168228,101888,0
007902004,24436,24436,0
007902005,6686,6680,0
007902041,8373,5560,101
007902101,5680,4052,45
007904001,8879,4922,57
007904002,.,.,.
007904003,.,.,.
007904041,7368,4433,97
007904101,6347,4066,129
007904103,6137,3963,76
007905001,8154,5551,230
007905004,.,.,.
007905005,.,.,.
007905006,.,.,.
007905041,6743,4784,110
007905102,5369,3886,45
007905103,5753,4243,79
007905104,6095,4455,87
007905105,5315,4108,52
007906001,8082,5574,113
007906003,.,.,.
007906041,5262,3762,87
007906101,4830,3933,113
007906102,5608,3976,121
008901001,7474,4515,247
008901041,6954,4784,196
008901101,5603,4158,143
008901102,6571,4549,202
008901105,7523,5031,196
008902001,7121,5190,186
008902041,5890,4615,160
008902102,5295,4527,72
008902103,5900,4804,122
008903001,10482,6318,0
008903041,8207,5414,0
008903102,6235,4775,20
009901001,9179,6780,172
009901002,.,.,.
009901041,6797,5343,199
009901101,5617,4335,134
009901103,5310,4491,121
010901001,10805,7948,158
010901101,7085,5762,67
010902001,6819,5139,68
010902041,5891,4794,39
010902101,5900,4974,53
010902102,6438,5290,74
011901001,6414,4715,43
011901022,7148,5432,20
011901033,18408,15123,198
011901041,6627,5118,33
011901101,6239,4835,29
011901102,6389,5003,32
011901103,5210,4117,26
011901104,5457,4231,26
011901106,6596,4977,31
011901107,6604,5182,39
011901108,5207,3943,28
011901109,5492,4345,24
011901110,5446,4294,30
011902001,6812,4214,126
011902004,6614,4004,49
011902041,6278,4132,164
011902101,5931,4219,128
011902102,6201,4476,163
011902103,5394,3807,92
011902104,.,.,.
011904002,6080,4508,79
011904041,5938,4555,141
011904101,6072,4666,162
011904102,5886,4526,141
011905101,6233,5184,0
012901001,14612,7835,0
012901042,6410,5013,0
012901101,7014,4982,0
013801101,7822,4918,240
013901001,7322,4307,161
013901002,20586,11874,149
013901041,5976,3995,99
013901101,5419,4046,60
013901102,6259,4716,130
013901104,5248,4165,83
013901105,5633,4188,37
013902101,10070,6505,0
013903001,8429,6028,255
013903101,6534,5575,0
013905001,8505,5938,0
013905041,7978,5873,0
013905101,6245,5156,0
014801001,7148,4722,0
014802001,7160,4394,0
014803101,3811,3252,0
014804002,12677,7743,0
014804003,21288,12494,0
014804004,24626,15841,0
014804005,.,.,.
014804006,.,.,.
014901001,6791,5112,0
014901041,5896,4961,0
014901101,5062,4276,0
014902001,6213,4805,0
014903001,6890,4554,184
014903005,8357,5899,144
