,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,teacher_avg_salary,teacher_experience,exp_w_dist,completion_rate,recieved_GED,graduated,dist_name,county_num,charter,grade_span,eng_class_size,math_class_size,sci_class_size
001902001,43,49,30,41,21,134,8,35,15,30,35,34472,11.652173913,3.5652173913,3.2,0,96.8,CAYUGA ISD,001,N,09 - 12,12,11.6,9.7
001902041,0,0,0,0,24,124,5,48,19,23,48,32439,10.619047619,3.8571428571,.,.,.,CAYUGA ISD,001,N,06 - 08,15.4,15,16.5
001902103,0,0,0,0,20,233,9,110,28,44,110,36434,13.954545455,6.3181818182,.,.,.,CAYUGA ISD,001,N,EE - 05,.,.,.
001903001,106,89,94,75,29,315,19,125,18,83,125,35985,15.027027027,4.972972973,3.8,1.3,93.6,ELKHART ISD,001,N,09 - 12,13.4,15,16.1
001903002,1,1,1,1,1,2,1,1,0,1,1,.,.,.,.,.,.,ELKHART ISD,001,N,09 - 12,.,.,.
001903041,0,0,0,0,23,240,16,130,16,71,130,33234,10.066666667,5.3333333333,.,.,.,ELKHART ISD,001,N,06 - 08,14.4,13,17
001903101,0,0,0,0,45,539,34,360,16,102,360,34769,13.146341463,9.7317073171,.,.,.,ELKHART ISD,001,N,EE - 05,.,.,.
001904001,57,56,57,62,32,188,10,77,17,46,77,34742,11.711864407,5.4576271186,6.3,0,93.7,FRANKSTON ISD,001,N,09 - 12,12.4,14.3,12.5
001904041,0,0,0,0,31,151,12,100,27,29,100,34282,11.4,4.25,.,.,.,FRANKSTON ISD,001,N,06 - 08,16.6,14.8,18.3
001904102,0,0,0,0,60,276,21,206,16,44,206,37097,16.419354839,9.7096774194,.,.,.,FRANKSTON ISD,001,N,EE - 05,.,.,.
001906002,22,22,20,16,21,110,4,53,13,33,53,38626,11.363636364,9.0909090909,0,0,100,NECHES ISD,001,N,07 - 12,15.7,13.7,15.3
001906102,0,0,0,0,20,149,4,65,8,30,65,34056,7.5,4.6428571429,.,.,.,NECHES ISD,001,N,EE - 06,.,.,.
001907001,318,223,233,155,279,431,210,491,57,133,491,35465,10.464516129,6.5161290323,3.9,7.8,85.9,PALESTINE ISD,001,N,08 - 12,19.4,19.6,18
001907041,0,0,0,0,159,213,126,305,22,85,305,33980,10.359550562,7.3258426966,.,.,.,PALESTINE ISD,001,N,07 - 08,16.9,15,17.9
001907042,0,0,0,0,56,84,77,147,0,25,147,34814,12.833333333,6.8333333333,.,.,.,PALESTINE ISD,001,N,06 - 06,.,15,.
001907101,0,0,0,0,154,132,159,374,0,29,374,33148,13.137254902,9.9281045752,.,.,.,PALESTINE ISD,001,N,EE - KG,.,.,.
