,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,county_num,charter,grade_span,eng_class_size,math_class_size,sci_class_size
001902001,67,42,52,38,18,162,12,60,24,24,60,45616,13.48972466,6.6740921132,CAYUGA ISD,001,N,09 - 12,12.4,11.9,12.1
001902041,0,0,0,0,7,134,4,54,20,22,54,43519,12,6.3181818182,CAYUGA ISD,001,N,06 - 08,16.4,16,17
001902103,0,0,0,0,10,204,14,106,13,25,106,43448,16.48,11.28,CAYUGA ISD,001,N,EE - 05,.,.,.
001903001,81,97,90,68,10,293,24,137,23,34,137,40891,16.060606061,8.7575757576,ELKHART ISD,001,N,09 - 12,9.8,12.6,17.6
001903041,0,0,0,0,13,252,24,152,18,35,152,39605,12.347826087,9.2173913043,ELKHART ISD,001,N,06 - 08,15.6,15.8,15.7
001903101,0,0,0,0,21,278,32,251,5,26,251,39608,13.956521739,11.565217391,ELKHART ISD,001,N,PK - 02,.,.,.
001903102,0,0,0,0,18,238,20,166,8,26,166,40651,15.260869565,10.869565217,ELKHART ISD,001,N,03 - 05,.,.,.
001904001,42,55,49,54,28,139,17,112,13,33,112,41219,13.879501385,9.2396121884,FRANKSTON ISD,001,N,09 - 12,13.3,11.8,12.3
001904041,0,0,0,0,21,135,18,97,16,13,97,41568,13.632653061,7.1020408163,FRANKSTON ISD,001,N,06 - 08,11.5,13.3,14.5
001904102,0,0,0,0,33,268,41,216,11,34,216,43301,19.466666667,13.3,FRANKSTON ISD,001,N,EE - 05,.,.,.
001906002,38,35,16,18,8,90,6,42,7,12,42,42588,11.5,3.4166666667,NECHES ISD,001,N,09 - 12,13,9.1,18.4
001906102,0,0,0,0,21,234,34,121,24,37,121,40853,12.615384615,4.8076923077,NECHES ISD,001,N,EE - 08,14.8,14.8,14.8
001907001,228,196,219,146,215,258,298,516,36,62,516,46585,11.675,6.36875,PALESTINE ISD,001,N,09 - 12,18.6,19.6,22.2
001907041,0,0,0,0,125,144,155,321,20,35,321,44443,12.857326716,5.4712002826,PALESTINE ISD,001,N,07 - 08,19.2,19.1,16.6
001907101,0,0,0,0,139,150,236,450,3,31,450,39268,9.9459459459,6.4054054054,PALESTINE ISD,001,N,KG - 01,.,.,.
001907102,0,0,0,0,63,44,88,206,0,9,206,42927,13.195757847,9.8431384152,PALESTINE ISD,001,N,EE - PK,.,.,.
001907107,0,0,0,0,158,148,193,408,15,32,408,39142,11.108108108,7.8108108108,PALESTINE ISD,001,N,02 - 03,.,.,.
001907110,0,0,0,0,203,211,285,569,31,49,569,41197,11.084617825,6.8203806286,PALESTINE ISD,001,N,04 - 06,.,.,.
001908002,129,109,105,106,92,277,55,215,25,52,215,41093,11.792703,5.1685722867,WESTWOOD ISD,001,N,09 - 12,16.7,13.1,15.1
001908041,0,0,0,0,41,147,44,138,8,25,138,41346,12.69154573,7.6051815385,WESTWOOD ISD,001,N,07 - 08,14,12.2,16.3
001908101,0,0,0,0,109,296,118,369,21,48,369,40992,12.03030303,6.9696969697,WESTWOOD ISD,001,N,03 - 06,.,.,.
001908102,0,0,0,0,64,272,110,323,4,35,323,40567,12.80183666,9.7598588467,WESTWOOD ISD,001,N,EE - 02,.,.,.
001909001,28,29,28,28,3,191,11,90,15,34,90,44112,16.664763998,10.705343924,SLOCUM ISD,001,N,06 - 12,13.7,12.1,14
001909101,0,0,0,0,3,194,9,121,9,16,121,43039,13.486877103,8.8631176532,SLOCUM ISD,001,N,EE - 05,.,.,.
002901001,274,227,186,175,14,310,521,243,59,103,243,58379,14.275641026,8,ANDREWS ISD,002,N,09 - 12,15.9,17.7,16.3
002901002,0,7,23,15,3,16,26,17,0,3,17,53974,14.833333333,12,ANDREWS ISD,002,N,10 - 12,.,.,1
002901041,0,0,0,0,11,222,437,295,38,35,295,55876,13.548076923,10.538461538,ANDREWS ISD,002,N,06 - 08,17,18.1,22.5
002901101,0,0,0,0,11,167,361,280,7,32,280,53347,12.694444444,7.6666666667,ANDREWS ISD,002,N,02 - 03,.,.,.
002901104,0,0,0,0,10,161,340,255,13,34,255,52510,11.102564103,8.0512820513,ANDREWS ISD,002,N,04 - 05,.,.,.
002901105,0,0,0,0,5,197,524,466,0,41,466,55050,14.892959318,11.994225535,ANDREWS ISD,002,N,EE - 01,.,.,.
003801001,37,25,20,0,25,101,27,82,0,12,82,47330,9.8640776699,1.0647249191,PINEYWOODS COMMUNITY ACADEMY,003,Y,07 - 11,11.6,10.5,13.6
003801103,0,0,0,0,73,255,52,268,33,36,268,42299,8.1785714286,2.0714285714,PINEYWOODS COMMUNITY ACADEMY,003,Y,PK - 06,.,13,.
003902001,207,203,174,143,25,525,138,329,44,59,329,43950,12.631578947,8.5087719298,HUDSON ISD,003,N,09 - 12,18.5,18.7,20.5
003902004,0,1,4,2,0,6,1,4,0,0,4,52159,9,6.6666666667,HUDSON ISD,003,N,10 - 12,.,.,.
003902041,0,0,0,0,28,443,144,357,57,61,357,44840,14.782178218,9.9603960396,HUDSON ISD,003,N,06 - 08,23.2,24.8,21.2
003902101,0,0,0,0,50,462,204,515,5,51,515,41447,11.35,7.45,HUDSON ISD,003,N,EE - 02,.,.,.
003902102,0,0,0,0,46,421,135,385,49,44,385,43814,13,7.575,HUDSON ISD,003,N,03 - 05,.,.,.
003903001,585,614,550,447,636,767,710,1379,327,359,1379,44551,13.980447479,10.940794037,LUFKIN ISD,003,N,09 - 12,15.9,16.4,19.8
003903004,2,15,10,16,19,9,15,21,0,15,21,.,.,.,LUFKIN ISD,003,N,09 - 12,.,.,.
003903044,0,0,0,0,467,565,667,1248,200,258,1248,44720,15.134844066,11.380450228,LUFKIN ISD,003,N,06 - 08,18.2,20.4,23.2
003903120,0,0,0,0,99,83,94,219,0,37,219,43759,15.208333333,10.625,LUFKIN ISD,003,N,03 - 05,.,.,.
003903121,0,0,0,0,159,150,88,279,198,43,279,44192,14.5,11.40625,LUFKIN ISD,003,N,03 - 05,.,.,.
003903122,0,0,0,0,128,84,86,253,0,57,253,47617,19.285714286,15.714285714,LUFKIN ISD,003,N,03 - 05,.,.,.
003903123,0,0,0,0,58,59,157,258,0,33,258,44370,16.428571429,12.80952381,LUFKIN ISD,003,N,03 - 05,.,.,.
003903124,0,0,0,0,124,167,87,233,223,11,233,45056,16.375,11.625,LUFKIN ISD,003,N,KG - 02,.,.,.
003903125,0,0,0,0,122,24,234,378,0,6,378,41856,11.727272727,7.2272727273,LUFKIN ISD,003,N,PK - KG,.,.,.
003903126,0,0,0,0,113,19,133,262,0,0,262,39447,5.7917294104,3.6922274991,LUFKIN ISD,003,N,PK - PK,.,.,.
003903127,0,0,0,0,114,124,171,382,0,65,382,42224,11.466666667,7.9333333333,LUFKIN ISD,003,N,EE - 02,.,.,.
003903128,0,0,0,0,114,120,128,310,0,13,310,43068,14.416666667,10.625,LUFKIN ISD,003,N,PK - 02,.,.,.
003903129,0,0,0,0,27,101,302,345,0,22,345,43073,12.714285714,12.057142857,LUFKIN ISD,003,N,03 - 05,.,.,.
003903130,0,0,0,0,146,90,135,314,0,28,314,45463,17.444444444,14.925925926,LUFKIN ISD,003,N,EE - 02,.,.,.
003903131,0,0,0,0,31,142,327,390,1,10,390,43058,13.258064516,11.129032258,LUFKIN ISD,003,N,KG - 02,.,.,.
003903140,0,0,0,3,1,2,1,0,0,4,0,46451,16,11.5,LUFKIN ISD,003,N,08 - 12,.,.,.
003903201,1,1,1,0,0,2,1,4,0,3,4,.,.,.,LUFKIN ISD,003,N,07 - 11,.,.,.
003904001,163,134,91,115,11,459,20,206,53,57,206,44067,14.702702703,8.4864864865,HUNTINGTON ISD,003,N,09 - 12,20.4,17.8,15.3
003904005,5,2,15,20,2,36,3,28,0,7,28,46734,17,14,HUNTINGTON ISD,003,N,09 - 12,.,.,.
003904041,0,0,0,0,8,388,25,199,37,57,199,40603,11.545454545,7.5454545455,HUNTINGTON ISD,003,N,06 - 08,24.1,19.4,24.3
003904101,0,0,0,0,17,460,27,323,7,39,323,41520,14.5,10.882352941,HUNTINGTON ISD,003,N,EE - 03,.,.,.
003904102,0,0,0,0,6,225,22,140,17,24,140,39469,11.772727273,8.7272727273,HUNTINGTON ISD,003,N,04 - 05,.,.,.
003905001,137,125,119,103,71,171,236,341,33,60,341,45724,10.972222222,7.25,DIBOLL ISD,003,N,09 - 12,17.9,15.7,17.2
003905004,0,1,2,10,3,5,5,4,0,2,4,.,.,.,DIBOLL ISD,003,N,10 - 12,.,.,.
003905041,0,0,0,0,53,125,228,319,22,45,319,43517,11.413081999,8.2975187102,DIBOLL ISD,003,N,06 - 08,14.8,16.7,16.6
003905101,1,0,0,0,55,196,309,429,25,40,429,44124,11.7,7.625,DIBOLL ISD,003,N,01 - 09,.,.,.
003905102,0,0,0,0,48,138,284,382,7,29,382,42955,10.023426273,7.4642536074,DIBOLL ISD,003,N,EE - 01,.,.,.
003906001,38,24,31,30,0,210,9,130,16,30,130,45190,14.1,8.75,ZAVALLA ISD,003,N,06 - 12,14.6,16.2,15.8
