,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,county_num,charter,grade_span
001902001,65,37,46,44,17,171,1,31,16,35,31,31669,10.5,4.3,CAYUGA ISD,001,N,09 - 12
001902041,0,0,0,0,23,132,2,40,11,29,40,29157,7.3,2.6,CAYUGA ISD,001,N,06 - 08
001902103,0,0,0,0,36,225,11,83,15,33,83,30655,11.4,6,CAYUGA ISD,001,N,EE - 05
001903001,100,87,72,71,24,298,7,94,36,55,94,32140,14.4,6.2,ELKHART ISD,001,N,09 - 12
001903041,0,0,0,0,23,218,4,91,19,49,91,28939,9.7,4.2,ELKHART ISD,001,N,06 - 08
001903101,0,0,0,0,33,497,19,269,18,115,269,31288,13,10,ELKHART ISD,001,N,EE - 05
001904001,62,78,46,49,24,208,2,64,59,36,64,32409,14.6,6.1,FRANKSTON ISD,001,N,09 - 12
001904041,0,0,0,0,24,165,3,75,25,46,75,31184,13.7,6.3,FRANKSTON ISD,001,N,06 - 08
001904102,0,0,0,0,57,297,21,223,7,47,223,33390,16.8,11.2,FRANKSTON ISD,001,N,PK - 05
001906002,24,24,22,22,15,131,2,40,0,20,40,31673,12.1,6.3,NECHES ISD,001,N,07 - 12
001906102,0,0,0,0,30,156,4,84,10,48,84,29110,9,5.1,NECHES ISD,001,N,EE - 06
001907001,335,272,213,228,351,531,160,367,110,127,367,32677,12.7,8.2,PALESTINE ISD,001,N,09 - 12
001907002,19,14,5,1,6,24,11,0,0,11,0,26590,6,6,PALESTINE ISD,001,N,07 - 12
001907041,0,0,0,0,195,260,105,278,32,73,278,32007,13.9,10.1,PALESTINE ISD,001,N,06 - 08
001907042,0,0,0,0,86,123,52,146,14,32,146,30462,10.5,6.4,PALESTINE ISD,001,N,06 - 06
001907101,0,0,0,0,145,198,112,283,2,40,283,31622,13.4,10.1,PALESTINE ISD,001,N,KG - 02
001907104,0,0,0,0,68,40,48,148,0,18,148,27695,7.8,5,PALESTINE ISD,001,N,EE - PK
001907107,0,0,0,0,115,163,91,209,0,22,209,32164,13,10,PALESTINE ISD,001,N,KG - 02
001907110,0,0,0,0,257,377,177,460,49,72,460,33704,15.6,12.9,PALESTINE ISD,001,N,03 - 05
001908002,160,135,119,90,67,399,32,115,26,78,115,32071,14.4,7.1,WESTWOOD ISD,001,N,09 - 12
001908041,0,0,0,0,47,234,19,105,11,35,105,29096,10.8,7.7,WESTWOOD ISD,001,N,07 - 08
001908101,0,0,0,0,94,433,56,235,38,100,235,30078,11.5,8.1,WESTWOOD ISD,001,N,03 - 06
001908102,0,0,0,0,85,319,42,232,26,42,232,32344,14.6,10.8,WESTWOOD ISD,001,N,EE - 02
001909001,32,22,25,31,4,151,4,63,22,35,63,34578,14.9,5.4,SLOCUM ISD,001,N,07 - 12
001909101,0,0,0,0,4,186,14,112,12,49,112,29139,7.5,3.9,SLOCUM ISD,001,N,EE - 06
002901001,299,297,253,203,16,566,459,215,91,211,215,40382,14.1,8.4,ANDREWS ISD,002,N,09 - 12
002901002,0,0,0,0,0,3,2,3,0,4,3,25691,0.5,0.5,ANDREWS ISD,002,N,05 - 08
002901041,0,0,0,0,18,408,395,314,78,214,314,39144,14.2,9,ANDREWS ISD,002,N,06 - 08
002901101,0,0,0,0,2,185,150,132,52,49,132,38024,13.9,11.2,ANDREWS ISD,002,N,KG - 05
002901102,0,0,0,0,2,67,131,150,7,36,150,37809,13.2,11.7,ANDREWS ISD,002,N,KG - 05
002901103,0,0,0,0,2,127,112,154,15,76,154,37363,12.8,9,ANDREWS ISD,002,N,KG - 05
002901104,0,0,0,0,2,90,161,169,9,63,169,37855,14.7,11.7,ANDREWS ISD,002,N,KG - 05
002901105,0,0,0,0,19,221,296,311,21,124,311,39652,16,12.1,ANDREWS ISD,002,N,EE - 05
003902001,173,159,157,144,13,541,78,168,67,95,168,30556,10.7,6.1,HUDSON ISD,003,N,09 - 12
003902004,0,2,3,5,0,7,3,1,0,1,1,34338,11.6,4.2,HUDSON ISD,003,N,10 - 12
