,sat,act,act_pct
001902001,981,19.8,54.8
001902041,.,.,.
001902103,.,.,.
001903001,1032,21.4,46.9
001903041,.,.,.
001903101,.,.,.
001904001,1004,21.8,48
001904041,.,.,.
001904102,.,.,.
001906002,.,19,50
001906102,.,.,.
001907001,940,19.7,58
001907041,.,.,.
001907042,.,.,.
001907101,.,.,.
001907104,.,.,.
001907107,.,.,.
001907110,.,.,.
001908002,1036,19.9,44.6
001908041,.,.,.
001908101,.,.,.
001908102,.,.,.
001909001,.,.,27.8
001909101,.,.,.
002901001,956,19.8,41.6
002901002,.,.,.
002901041,.,.,.
002901101,.,.,.
002901103,.,.,.
002901104,.,.,.
002901105,.,.,.
003801001,.,.,.
003902001,930,19.1,44.4
003902004,.,.,.
003902041,.,.,.
003902101,.,.,.
003902102,.,.,.
003903001,977,19.4,52.1
003903004,.,.,0
003903044,.,.,.
003903120,.,.,.
003903121,.,.,.
003903122,.,.,.
003903123,.,.,.
003903124,.,.,.
003903125,.,.,.
003903126,.,.,.
003903127,.,.,.
003903128,.,.,.
003903129,.,.,.
003903130,.,.,.
003903140,.,.,.
003903141,.,.,.
003903201,.,.,.
003904001,897,17.4,48.2
003904005,.,.,0
003904041,.,.,.
003904101,.,.,.
003904102,.,.,.
003905001,875,18.8,.
003905004,.,.,.
003905041,.,.,.
003905101,.,.,.
003905102,.,.,.
003906001,973,20.4,76.9
003906101,.,.,.
003907001,960,17.5,47.2
003907004,.,.,0
003907041,.,.,.
003907101,.,.,.
003907102,.,.,.
004901001,1001,19,60.5
004901041,.,.,.
004901101,.,.,.
004901102,.,.,.
004901103,.,.,.
004901104,.,.,.
005901001,926,20,75.7
005901101,.,.,.
005902001,1002,20.9,69.7
005902041,.,.,.
005902101,.,.,.
005903001,.,.,.
005904001,.,21.7,75
005904101,.,.,.
006902001,1016,22.5,63
006902101,.,.,.
007901001,.,17.1,45
007901002,.,.,.
007901041,.,.,.
007901101,.,.,.
007902001,1001,20.6,77.2
007902002,.,.,.
007902005,.,.,.
007902041,.,.,.
007902101,.,.,.
007904001,964,19,68.2
007904002,.,.,.
007904041,.,.,.
007904042,.,.,.
007904101,.,.,.
007904103,.,.,.
007905001,992,19.5,57
007905003,.,.,.
007905004,.,.,.
007905041,.,.,.
007905102,.,.,.
007905103,.,.,.
007905104,.,.,.
007905105,.,.,.
007906001,839,16,40.6
007906003,.,.,.
007906041,.,.,.
007906101,.,.,.
008901001,1006,21.6,69.5
008901041,.,.,.
008901101,.,.,.
008901102,.,.,.
008901105,.,.,.
008902001,976,18.5,54.6
008902041,.,.,.
008902102,.,.,.
008902103,.,.,.
008903001,949,18.9,62.3
008903041,.,.,.
008903102,.,.,.
009901001,.,19.9,81.5
009901002,.,.,.
009901041,.,.,.
009901101,.,.,.
009901103,.,.,.
009903001,.,15.4,55.6
009903002,.,.,.
010901001,956,.,83.3
010901101,.,.,.
010902001,1015,21.9,53.8
010902002,.,.,.
010902041,.,.,.
010902101,.,.,.
010902102,.,.,.
011901001,982,20.2,55.2
011901004,.,.,.
011901022,.,.,9.1
011901033,.,.,.
011901041,.,.,.
011901101,.,.,.
011901102,.,.,.
011901103,.,.,.
011901104,.,.,.
011901106,.,.,.
011901107,.,.,.
011902001,956,20.1,42.7
011902004,.,.,.
011902041,.,.,.
011902101,.,.,.
011902102,.,.,.
011904002,949,19.2,60
011904039,.,.,.
011904041,.,.,.
011904101,.,.,.
011904102,.,.,.
011905101,.,.,.
012901001,1115,22.4,73.1
012901101,.,.,.
013801101,.,.,.
013901001,933,18.3,56.4
013901002,.,.,0
013901041,.,.,.
013901101,.,.,.
013901102,.,.,.
013901104,.,.,.
013901105,.,.,.
013901106,.,.,.
013902101,.,.,.
013903001,1028,22.4,37.1
013903101,.,.,.
013905001,.,18.8,63.2
013905041,.,.,.
013905101,.,.,.
014801001,.,.,0
014802001,.,.,9.5
014803101,.,.,.
014901001,968,20.9,61.5
014901041,.,.,.
014901101,.,.,.
014902001,984,19.8,48.1
014902041,.,.,.
014902101,.,.,.
014903001,1042,19,91.8
014903005,.,.,2.7
014903006,.,.,.
014903041,.,.,.
014903102,.,.,.
014903103,.,.,.
014903104,.,.,.
014903108,.,.,.
014903109,.,.,.
014903110,.,.,.
014903111,.,.,.
014903112,.,.,.
014903113,.,.,.
014905001,905,19,66.7
014905041,.,.,.
014905101,.,.,.
014906001,929,19.8,63.1
014906002,916,19.4,57.7
014906004,.,.,.
014906006,.,.,0
014906007,962,19.2,57.3
014906008,893,18.1,45.8
014906009,.,.,.
014906022,.,.,.
014906025,.,.,.
014906026,.,.,.
014906041,.,.,.
014906042,.,.,.
014906043,.,.,.
014906044,.,.,.
014906045,.,.,.
014906046,.,.,.
014906048,.,.,.
014906049,.,.,.
014906102,.,.,.
014906103,.,.,.
014906104,.,.,.
014906105,.,.,.
014906106,.,.,.
014906108,.,.,.
014906109,.,.,.
014906110,.,.,.
014906111,.,.,.
014906112,.,.,.
014906113,.,.,.
014906114,.,.,.
014906115,.,.,.
014906116,.,.,.
014906117,.,.,.
014906119,.,.,.
014906120,.,.,.
014906121,.,.,.
014906122,.,.,.
014906123,.,.,.
014906124,.,.,.
014906125,.,.,.
014906126,.,.,.
014906127,.,.,.
014906128,.,.,.
014906129,.,.,.
014907001,944,19.5,58.8
014907041,.,.,.
014907102,.,.,.
014908001,1063,19.8,72.7
014908041,.,.,.
014908101,.,.,.
014909002,1057,22.7,65.4
014909006,.,.,.
014909041,.,.,.
014909042,.,.,.
014909044,.,.,.
014909101,.,.,.
014909102,.,.,.
014909107,.,.,.
014909110,.,.,.
014909111,.,.,.
014909114,.,.,.
014909115,.,.,.
014909116,.,.,.
014909117,.,.,.
014909118,.,.,.
014910001,979,19.8,78.7
014910041,.,.,.
014910101,.,.,.
014910103,.,.,.
015801001,.,.,0
015802001,.,.,0
015802002,.,.,.
015803101,.,.,.
015805101,.,.,.
015806101,.,.,.
015806102,.,.,.
015806103,.,.,.
015807001,852,.,12.8
015807002,.,.,.
015808001,.,.,.
015809101,.,.,.
015810001,.,.,.
015811101,.,.,.
015812001,.,.,.
015813041,.,.,.
015814001,.,.,0
015815001,.,.,.
015815101,.,.,.
015816001,.,.,.
015817001,.,.,.
015818001,.,.,0
015818002,.,.,.
015819001,.,.,.
015819101,.,.,.
015819102,.,.,.
015820001,.,.,.
015822001,.,.,.
015823001,.,.,.
015901001,1095,22.7,88.8
015901002,.,.,.
015901041,.,.,.
015901101,.,.,.
015901102,.,.,.
015901104,.,.,.
015904001,842,18.4,48.6
015904002,832,17.9,51.5
015904003,.,.,.
015904004,.,.,3.4
015904007,.,.,.
015904008,.,.,.
015904041,.,.,.
015904042,.,.,.
015904043,.,.,.
015904044,.,.,.
015904045,.,.,.
015904046,.,.,.
015904101,.,.,.
015904102,.,.,.
015904103,.,.,.
015904104,.,.,.
015904105,.,.,.
015904106,.,.,.
015904107,.,.,.
015904108,.,.,.
015904109,.,.,.
015904110,.,.,.
015904111,.,.,.
015904113,.,.,.
015904114,.,.,.
015904115,.,.,.
015904116,.,.,.
015904117,.,.,.
015905002,831,17.3,54.7
015905003,806,16.6,48.5
015905006,.,.,0
015905007,.,.,.
015905041,.,.,.
015905044,.,.,.
015905045,.,.,.
015905046,.,.,.
015905101,.,.,.
015905102,.,.,.
015905104,.,.,.
