,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
001902001,81,84,97,942,19.7,66.7
001902041,-1,-1,-1,.,.,.
001902103,-1,-1,-1,.,.,.
001903001,63,67,83,949,21.7,35.4
001903002,.,.,.,.,.,.
001903041,-1,-1,-1,.,.,.
001903101,-1,-1,-1,.,.,.
001904001,80,84,93,975,18,50
001904041,-1,-1,-1,.,.,.
001904102,-1,-1,-1,.,.,.
001906002,73,73,93,-1,21.8,73.3
001906102,-1,-1,-1,.,.,.
001907001,53,56,79,952,20.3,50
001907041,-1,-1,-1,.,.,.
001907042,-1,-1,-1,.,.,.
001907101,-1,-1,-1,.,.,.
001907107,-1,-1,-1,.,.,.
001907110,-1,-1,-1,.,.,.
001908002,64,64,89,988,20.6,61.3
001908041,-1,-1,-1,.,.,.
001908101,-1,-1,-1,.,.,.
001908102,-1,-1,-1,.,.,.
001909001,56,56,94,-1,19.7,43.8
001909101,-1,-1,-1,.,.,.
002901001,50,54,79,942,20.3,41.9
002901002,-1,-1,-1,.,.,.
002901041,-1,-1,-1,.,.,.
002901101,-1,-1,-1,.,.,.
002901103,-1,-1,-1,.,.,.
002901104,-1,-1,-1,.,.,.
002901105,-1,-1,-1,.,.,.
003801001,-1,-1,-1,.,.,.
003902001,84,86,95,1007,19.6,51.2
003902004,-1,-1,-1,.,.,-1
003902041,-1,-1,-1,.,.,.
003902101,-1,-1,-1,.,.,.
003902102,-1,-1,-1,.,.,.
003903001,68,71,87,967,18,58.6
003903004,-1,-1,-1,.,.,-1
003903044,-1,-1,-1,.,.,.
003903120,-1,-1,-1,.,.,.
003903121,-1,-1,-1,.,.,.
003903122,-1,-1,-1,.,.,.
003903123,-1,-1,-1,.,.,.
003903124,-1,-1,-1,.,.,.
003903125,.,.,.,.,.,.
003903126,.,.,.,.,.,.
003903127,-1,-1,-1,.,.,.
003903128,-1,-1,-1,.,.,.
003903129,-1,-1,-1,.,.,.
003903130,-1,-1,-1,.,.,.
003903140,-1,-1,-1,.,.,.
003903141,-1,-1,-1,.,.,.
003903201,.,.,.,.,.,.
003904001,62,65,82,920,19.7,51
003904005,-1,-1,-1,.,.,0
003904041,-1,-1,-1,.,.,.
003904101,-1,-1,-1,.,.,.
003904102,-1,-1,-1,.,.,.
003905001,53,55,88,887,17.9,78.3
003905004,-1,-1,-1,.,.,-1
003905005,.,.,.,.,.,.
003905041,-1,-1,-1,.,.,.
003905101,-1,-1,-1,.,.,.
003905102,-1,-1,-1,.,.,.
003906001,62,58,92,-1,18.8,50
003906004,.,.,.,.,.,.
003906101,-1,-1,-1,.,.,.
003907001,49,50,84,934,19.1,50.6
003907004,-1,-1,-1,.,.,0
003907041,-1,-1,-1,.,.,.
003907101,-1,-1,-1,.,.,.
003907102,-1,-1,-1,.,.,.
