,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,597967,133069.0,,15596.0,101815.0,633.0,,,,,,,,,4549.0,,,,
001902041,626425,25084.0,,12009.0,70880.0,,,,,,,,,,4207.0,,,,
001902103,905416,,8440.0,123481.0,106015.0,,,,,,,,,,7695.0,,,,
001903001,1198996,197389.0,,,95796.0,,,,,,,,,,40287.0,,,,
001903041,1002372,,,,116578.0,,,,,,,,,,6212.0,,,,
001903101,948588,,4673.0,,135682.0,,,,,,,,,,3652.0,,,,
001903102,778553,,6173.0,,186648.0,,,,,,,,,,3627.0,,,,
001904001,714376,207248.0,,,84651.0,,,,,,,,,,43914.0,,,,
001904041,595999,920.0,1315.0,,71800.0,,,,,,,,,,25085.0,,,,
001904102,1127096,,,,124714.0,,,,,,,,,,43513.0,,,,
001906002,307178,,,13561.0,101687.0,2200.0,,,,,,,,,22445.0,55613.0,,66.0,
001906102,772382,,10983.0,26980.0,159211.0,,,,,,,,,,,56948.0,,158.0,
001907001,2714744,470934.0,37508.0,436778.0,580598.0,6210.0,,,,,,,,,165192.0,329012.0,,22306.0,
001907041,2260456,51230.0,,,105156.0,,,,,,,,,,25723.0,112635.0,,15568.0,
001907101,1550535,,,58394.0,122792.0,88237.0,,,,,,,,,21067.0,69798.0,,3998.0,
001907102,207186,,,,,,,,,,,,,,,26691.0,,10616.0,
001907107,1549059,,,46174.0,117152.0,,,,,,,,,,21067.0,73414.0,,13157.0,
001907110,2545497,,,,222007.0,,,,,,,,,,21067.0,138521.0,,11996.0,
001907999,25914,,,298538.0,98104.0,16523.0,2712329.0,,,,,,,1790000.0,30576.0,250709.0,154724.0,162768.0,
001908002,1193042,,7953.0,114483.0,146764.0,,,,,,,,,,,,16667.0,5459.0,
001908041,920761,,,93059.0,125388.0,,,,,,,,,,,,16667.0,1605.0,
001908101,1217379,,10776.0,106320.0,236713.0,175.0,,,,,,,,,,,16667.0,4627.0,
001908102,891183,,,106937.0,160925.0,175.0,,,,,,,,,,,16667.0,1963.0,
001908699,2835,,,20248.0,,,,,,,,,,,,,,,
001909001,358705,31498.0,11420.0,44340.0,44771.0,,,,,,,,,,101.0,,,3566.0,
001909101,859376,,,245816.0,201835.0,4872.0,,,,,,,,,214.0,,,,
002901001,2962443,556904.0,19498.0,232190.0,472497.0,,,,,,,,,,210847.0,,,,
002901041,2592022,96596.0,41913.0,569394.0,358807.0,,,,,,,,,,33411.0,,,,
002901101,1883817,,42991.0,652748.0,338365.0,,,,,,,,,,14490.0,,,,
002901104,1902699,,26997.0,250791.0,415260.0,,,,,,,,,,22506.0,,,,
002901105,1955754,,31288.0,279796.0,404964.0,5484.0,,,,,,,,,13262.0,,,,
003902001,1896090,195027.0,221959.0,,260602.0,171509.0,,,,,,,,,100049.0,,,,
003902041,1699825,19844.0,417610.0,,249592.0,9859.0,,,,,,,,,8973.0,,,,
003902101,1763947,,10283.0,,136729.0,22743.0,,,,,,,,,3443.0,,,,
