,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
001902,1426,-1,93,84,94,001902
001903,1433,20.1,89,79,99,001903
001904,1339,18.1,96,77,90,001904
001906,-1,18.8,78,69,90,001906
001907,1389,20.1,80,61,86,001907
001908,1367,21.5,90,75,92,001908
001909,1447,18.4,96,84,100,001909
002901,1430,19.9,74,71,82,002901
003801,1552,-1,89,87,92,003801
003902,1450,21.2,95,81,99,003902
003903,1504,20.3,85,75,94,003903
003904,1427,19.2,77,68,99,003904
003905,1367,18.6,86,71,83,003905
003906,1307,.,85,91,92,003906
003907,1412,19.7,81,67,91,003907
004901,1397,20.3,81,74,96,004901
005901,1482,22.4,85,81,91,005901
005902,1448,21.6,89,91,100,005902
005904,1390,21.4,91,83,90,005904
006902,-1,22.3,100,93,100,006902
007901,-1,16.3,68,62,77,007901
007902,1389,19.9,66,64,91,007902
007904,1322,17.8,74,63,84,007904
007905,1351,20.1,75,69,90,007905
007906,1331,17.9,70,68,77,007906
008901,1457,21.8,94,76,93,008901
008902,1411,20.7,80,69,91,008902
008903,1393,19.4,81,80,86,008903
009901,-1,18.7,87,68,93,009901
010901,1409,21.1,90,85,86,010901
010902,1477,22,84,84,94,010902
011901,1388,20,78,67,89,011901
011902,1405,20.1,75,67,87,011902
011904,1437,19.8,81,87,96,011904
011905,.,.,.,.,.,011905
012901,-1,21.3,87,79,89,012901
013801,.,.,.,.,.,013801
013901,1485,19.3,56,50,84,013901
013902,.,.,100,.,.,013902
013903,1316,18.7,88,55,65,013903
013905,1427,19.7,93,80,94,013905
014801,-1,.,26,35,60,014801
014802,.,.,35,63,71,014802
014803,-1,.,85,85,85,014803
014804,1527,22.6,81,84,96,014804
014901,1462,21.6,88,76,95,014901
014902,-1,16.1,70,51,61,014902
014903,1465,21.6,86,74,93,014903
014905,1377,18.7,89,81,95,014905
014906,1378,19.6,75,67,93,014906
014907,1491,20.5,88,85,94,014907
014908,1542,22.8,95,93,93,014908
014909,1458,21.1,81,69,94,014909
014910,1411,21.1,93,89,91,014910
015801,1324,-1,39,43,70,015801
015802,-1,-1,96,59,94,015802
015803,-1,13.2,.,-1,-1,015803
015805,.,.,83,83,.,015805
015806,1222,18.6,79,61,74,015806
015807,1314,-1,41,40,69,015807
015808,.,.,-1,-1,-1,015808
015809,.,.,.,.,.,015809
015814,.,.,55,41,59,015814
015815,1218,.,71,56,100,015815
015816,-1,17.2,75,88,100,015816
015819,.,.,69,59,75,015819
015820,-1,.,75,87,87,015820
015822,1228,-1,76,66,78,015822
015823,.,-1,48,56,67,015823
015825,.,.,.,.,.,015825
015826,1263,18.1,71,66,96,015826
015827,1499,20.5,93,80,97,015827
015828,1390,19.6,91,84,90,015828
015830,1403,20,65,68,96,015830
015831,1413,-1,86,77,100,015831
015832,-1,-1,75,76,81,015832
015833,1383,17.8,62,49,92,015833
015834,.,.,95,100,98,015834
015835,.,.,83,92,95,015835
015836,.,.,-1,.,.,015836
015901,1646,24.7,95,85,97,015901
015904,1171,18.4,73,65,80,015904
015905,1168,16.9,70,53,84,015905
015906,1589,22.9,91,91,100,015906
015907,1201,16.7,66,57,84,015907
015908,1261,17.9,72,59,85,015908
015909,1231,17,79,65,84,015909
015910,1491,22.4,88,79,97,015910
015911,1326,18.9,72,65,92,015911
015912,1133,17.8,70,60,88,015912
015913,1551,24,95,85,100,015913
015914,1552,22.1,93,91,94,015914
015915,1437,21.2,86,77,95,015915
015916,1318,18.6,77,72,93,015916
015917,1226,19,74,60,91,015917
016901,1467,-1,81,60,94,016901
016902,1452,20.9,90,83,98,016902
017901,-1,22.8,86,92,100,017901
018901,1516,22.2,95,84,95,018901
018902,1316,17.9,85,68,100,018902
018903,1155,-1,45,43,78,018903
018904,1307,18.6,84,69,98,018904
018905,-1,-1,69,70,90,018905
018906,-1,-1,93,72,-1,018906
018907,1513,-1,100,84,92,018907
018908,-1,-1,100,67,86,018908
019901,.,19.1,87,72,92,019901
019902,.,21.2,93,78,91,019902
019903,.,20.1,73,77,88,019903
019905,-1,19.8,85,87,91,019905
019906,.,20.4,86,79,96,019906
019907,1584,20.4,84,70,88,019907
019908,-1,18.7,79,72,91,019908
019909,-1,20,89,77,87,019909
019910,.,.,.,.,.,019910
019911,.,.,100,.,.,019911
019912,1850,22.8,96,90,92,019912
019913,.,.,.,.,.,019913
019914,.,.,.,.,.,019914
020901,1415,20.2,82,65,92,020901
020902,1406,18.6,71,75,92,020902
020904,1412,19.6,76,65,91,020904
020905,1454,22,64,56,87,020905
020906,1389,21.1,92,83,92,020906
020907,1418,21.6,82,71,88,020907
020908,1543,22.5,92,85,97,020908
020910,.,.,100,71,.,020910
021803,-1,-1,.,-1,-1,021803
021805,.,.,.,.,.,021805
021901,1609,23.5,93,84,93,021901
021902,1430,20.2,70,56,89,021902
022004,-1,22.4,-1,61,82,022004
022901,1474,18.3,90,85,97,022901
022902,.,-1,-1,-1,-1,022902
022903,.,.,-1,.,.,022903
023902,-1,25.4,93,71,73,023902
024901,1492,16.9,76,65,57,024901
025901,1473,20.5,77,73,83,025901
025902,1456,20.8,78,69,91,025902
025904,-1,19.7,81,82,94,025904
025905,1384,22,86,86,84,025905
025906,-1,18.9,95,90,95,025906
025908,.,22.8,73,54,73,025908
025909,1496,22.2,92,88,97,025909
026901,1494,20.9,88,81,93,026901
026902,1256,19.3,70,63,95,026902
026903,1428,20.5,83,62,76,026903
027903,1359,19.9,79,61,85,027903
027904,1429,21.2,87,71,95,027904
028902,1345,19.2,82,57,85,028902
028903,1360,18.8,69,66,95,028903
028906,1300,-1,55,-1,90,028906
029901,1478,20.5,89,67,91,029901
030901,.,22.7,96,86,92,030901
030902,1408,20.2,88,80,93,030902
030903,.,17.5,71,56,94,030903
030906,-1,20.6,93,92,100,030906
031901,1255,18.2,84,65,89,031901
031903,1334,18.7,70,61,84,031903
031905,1369,18.1,74,66,90,031905
031906,1280,18.3,92,78,94,031906
031909,1252,16.9,88,63,86,031909
031911,1231,17.2,70,69,87,031911
031912,1238,16.9,83,64,87,031912
031913,1170,16.8,88,70,69,031913
031914,.,17,73,77,87,031914
031916,1502,21.5,87,88,97,031916
032902,1403,19.8,90,74,78,032902
033901,-1,24,100,100,93,033901
033902,-1,21,92,95,92,033902
033904,1520,21.6,86,86,96,033904
034901,-1,20.1,79,74,89,034901
034902,.,17.3,-1,92,56,034902
034903,-1,19.4,89,76,91,034903
034905,.,20.2,86,71,98,034905
034906,.,21.6,100,73,75,034906
034907,-1,20,92,77,96,034907
034909,.,19.4,90,63,91,034909
035901,.,17.4,75,64,71,035901
035902,.,17.3,76,53,48,035902
035903,.,24,100,84,100,035903
036901,1326,19,87,72,92,036901
036902,1478,21.7,96,91,100,036902
036903,1396,18.6,84,70,96,036903
037901,1434,19.1,69,70,86,037901
037904,1475,18.7,89,69,89,037904
037907,1530,22,85,79,95,037907
037908,-1,-1,80,55,78,037908
037909,1225,.,37,57,91,037909
038901,-1,19.9,90,84,91,038901
039902,1441,21.5,89,77,96,039902
039903,.,19.9,92,81,96,039903
039904,-1,-1,77,42,90,039904
039905,-1,19.8,100,73,86,039905
040901,-1,17.4,71,68,78,040901
040902,-1,21.8,77,81,100,040902
041901,.,20.5,93,85,100,041901
041902,-1,23.9,86,75,100,041902
042901,.,20.4,89,82,91,042901
042903,-1,20.4,95,70,95,042903
042905,.,21.6,100,80,100,042905
043801,.,.,96,96,100,043801
043901,1605,24.1,94,91,98,043901
043902,1454,21.5,86,79,93,043902
043903,1506,21.9,86,82,97,043903
043904,1504,21.5,88,81,100,043904
043905,1609,24.1,96,92,99,043905
043907,1576,23.3,92,86,97,043907
043908,1476,21.7,95,89,92,043908
043910,1693,25.8,94,90,98,043910
043911,1436,21.1,80,74,85,043911
043912,1561,23.2,98,92,98,043912
043914,1468,21.8,94,85,96,043914
043917,1333,18.4,63,68,88,043917
043918,1392,20.1,77,77,95,043918
043919,1677,25.6,100,98,100,043919
044902,-1,19.6,100,80,84,044902
045902,1357,19.3,84,67,89,045902
045903,1410,18,77,68,86,045903
045905,1399,22,96,85,95,045905
046802,.,.,46,60,100,046802
046901,1501,22.3,83,83,96,046901
046902,1489,22.2,91,82,96,046902
047901,1409,20.1,90,86,96,047901
047902,1459,20,81,79,98,047902
047903,1221,17.9,50,67,92,047903
047905,-1,-1,100,88,92,047905
048901,.,20.2,94,84,95,048901
048903,-1,-1,100,68,100,048903
049901,1451,20.4,81,70,90,049901
049902,1592,22.6,100,97,100,049902
049903,1388,19.7,95,66,98,049903
049905,1322,-1,93,86,96,049905
049906,1371,19,89,85,97,049906
049907,1570,22.8,98,93,100,049907
049908,.,.,-1,.,.,049908
049909,.,.,.,.,.,049909
050901,-1,18.8,85,70,93,050901
050902,1381,20.8,93,80,92,050902
050904,1342,-1,92,77,75,050904
050909,-1,20,81,82,86,050909
050910,1381,19.6,83,76,89,050910
051901,.,20.8,87,75,89,051901
052901,1621,18.8,73,56,93,052901
053001,1296,18.2,70,66,98,053001
054901,.,17,84,78,100,054901
054902,-1,-1,85,53,75,054902
054903,1298,17.1,88,81,90,054903
055901,-1,18.1,71,63,70,055901
056901,1576,20.6,75,70,93,056901
056902,-1,19.4,80,83,100,056902
057802,1235,-1,68,53,82,057802
057803,1713,25.8,90,94,97,057803
057804,1154,15.1,49,53,67,057804
057805,.,.,.,.,.,057805
057806,1194,14.9,79,70,94,057806
057807,1339,18.9,93,74,98,057807
057808,1325,-1,50,50,85,057808
057809,.,.,.,.,.,057809
057810,.,.,.,.,.,057810
057811,.,.,.,.,.,057811
057813,.,.,95,.,.,057813
057814,.,.,20,23,-1,057814
057815,1156,16,71,49,68,057815
057816,.,.,100,93,.,057816
057817,1181,.,57,49,90,057817
057819,-1,-1,75,-1,-1,057819
057827,.,.,.,.,.,057827
057828,1475,18,37,53,71,057828
057829,1198,-1,80,67,87,057829
057830,.,.,78,52,81,057830
057831,1142,14,60,58,85,057831
057832,-1,-1,46,33,48,057832
057833,.,.,.,.,.,057833
057834,1289,-1,31,34,65,057834
057835,.,.,.,.,.,057835
057836,.,.,.,.,.,057836
057837,.,.,83,.,.,057837
057838,1356,19.1,87,85,96,057838
057839,.,.,100,.,.,057839
057840,1612,23.9,.,-1,100,057840
057841,.,.,.,.,.,057841
057842,1391,19.8,78,78,96,057842
057843,1280,18.3,81,67,95,057843
057844,.,.,.,.,.,057844
