,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,-1,-1,-1,001902
001903,20.4,20.4,20.4,001903
001904,23.8,23.8,23.8,001904
001906,19.8,19.8,19.8,001906
001907,21.1,21.1,21.1,001907
001908,17.3,17.3,17.3,001908
001909,-1,-1,-1,001909
002901,19.1,19.1,19.1,002901
003801,.,.,.,003801
003902,19.2,19.2,19.2,003902
003903,17.5,17.5,17.5,003903
003904,19.8,19.8,19.8,003904
003905,17.8,17.8,17.8,003905
003906,19,19,19,003906
003907,17.6,17.6,17.6,003907
004901,20,20,20,004901
005901,20.7,20.7,20.7,005901
005902,21.8,21.8,21.8,005902
005904,23.6,23.6,23.6,005904
006902,20.9,20.9,20.9,006902
007901,15.6,15.6,15.6,007901
007902,19,19,19,007902
007904,20,20,20,007904
007905,20.1,20.1,20.1,007905
007906,16.9,16.9,16.9,007906
008901,22.5,22.5,22.5,008901
008902,21,21,21,008902
008903,19.3,19.3,19.3,008903
009901,19.9,19.9,19.9,009901
010901,20.8,20.8,20.8,010901
010902,20.9,20.9,20.9,010902
011901,19.5,19.5,19.5,011901
011902,17.8,17.8,17.8,011902
011904,19.9,19.9,19.9,011904
011905,.,.,.,011905
012901,20.4,20.4,20.4,012901
013801,.,.,.,013801
013901,18,18,18,013901
013902,.,.,.,013902
013903,19,19,19,013903
013905,18.7,18.7,18.7,013905
014801,-1,-1,-1,014801
014802,-1,-1,-1,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,20.6,20.6,20.6,014901
014902,-1,-1,-1,014902
014903,21.5,21.5,21.5,014903
014905,20.6,20.6,20.6,014905
014906,20,20,20,014906
014907,17.8,17.8,17.8,014907
014908,20.5,20.5,20.5,014908
014909,22.4,22.4,22.4,014909
014910,20.6,20.6,20.6,014910
015801,.,.,.,015801
015802,.,.,.,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,14.7,14.7,14.7,015806
015807,-1,-1,-1,015807
015808,.,.,.,015808
015809,.,.,.,015809
015811,.,.,.,015811
015812,.,.,.,015812
015813,.,.,.,015813
015814,.,.,.,015814
015815,-1,-1,-1,015815
015816,.,.,.,015816
015817,-1,-1,-1,015817
015819,.,.,.,015819
015820,.,.,.,015820
015822,-1,-1,-1,015822
015823,.,.,.,015823
015824,.,.,.,015824
015825,.,.,.,015825
015826,.,.,.,015826
015827,.,.,.,015827
015828,.,.,.,015828
015830,.,.,.,015830
015831,.,.,.,015831
015901,24,24,24,015901
015904,17.8,17.8,17.8,015904
015905,16.3,16.3,16.3,015905
015906,21.9,21.9,21.9,015906
015907,16.7,16.7,16.7,015907
015908,18.1,18.1,18.1,015908
015909,16.8,16.8,16.8,015909
015910,22.3,22.3,22.3,015910
015911,19.6,19.6,19.6,015911
015912,17.9,17.9,17.9,015912
015913,21,21,21,015913
015914,21.9,21.9,21.9,015914
015915,20.8,20.8,20.8,015915
015916,18.4,18.4,18.4,015916
015917,17.7,17.7,17.7,015917
016901,21.1,21.1,21.1,016901
016902,20.9,20.9,20.9,016902
017901,20.1,20.1,20.1,017901
018901,21.3,21.3,21.3,018901
018902,19.6,19.6,19.6,018902
018903,.,.,.,018903
018904,21.1,21.1,21.1,018904
018905,19.8,19.8,19.8,018905
018906,-1,-1,-1,018906
018907,20.6,20.6,20.6,018907
018908,-1,-1,-1,018908
019901,19.3,19.3,19.3,019901
019902,19.4,19.4,19.4,019902
019903,19.7,19.7,19.7,019903
019905,19.8,19.8,19.8,019905
019906,20.5,20.5,20.5,019906
019907,20.5,20.5,20.5,019907
019908,18.7,18.7,18.7,019908
019909,19.3,19.3,19.3,019909
019910,.,.,.,019910
019911,.,.,.,019911
019912,22.4,22.4,22.4,019912
019913,.,.,.,019913
019914,.,.,.,019914
020901,19.7,19.7,19.7,020901
020902,20.1,20.1,20.1,020902
020904,21.6,21.6,21.6,020904
020905,22.1,22.1,22.1,020905
020906,19.5,19.5,19.5,020906
020907,21.7,21.7,21.7,020907
020908,21,21,21,020908
020910,.,.,.,020910
021803,-1,-1,-1,021803
021804,.,.,.,021804
021901,22.6,22.6,22.6,021901
021902,18.8,18.8,18.8,021902
022004,.,.,.,022004
022901,19.1,19.1,19.1,022901
022902,-1,-1,-1,022902
