,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,55,47,44,51,29,197,158,23,26,67,13.2,11.4,9.5,12.171689306,41995,19.8646,001,N,95.7,001902001,001902
001903001,110,85,75,86,30,356,304,27,48,138,12.1,10.6,12.1,14.571428571,40621,37.2306,001,N,94.8,001903001,001903
001904001,50,65,59,55,36,229,175,24,29,102,10.4,12.6,14.6,10.774193548,40176,25.2308,001,N,94.2,001904001,001904
001906002,18,19,20,30,15,87,64,6,19,37,10.1,9.3,10.4,8,40863,10.2639,001,N,95.3,001906002,001906
001907001,265,185,192,188,226,830,294,43,80,462,19.3,18.5,18.5,14.033112583,43629,69.9437,001,N,94.9,001907001,001907
001908002,133,137,104,89,87,463,307,25,81,212,13.5,16.2,13.9,13.410762113,40961,39.7171,001,N,93.9,001908002,001908
002901001,231,242,201,199,17,873,343,69,117,249,13.9,17.3,15.9,15.710526316,59469,67.4865,002,N,94.1,002901001,002901
003902001,195,163,185,158,28,701,557,57,54,292,18.3,16.3,16.7,13.037037037,43637,49.3887,003,N,96.1,003902001,003902
003903001,659,546,578,463,669,2246,878,313,418,1387,15.1,16.3,18.7,14.462562982,44535,176.5946,003,N,93.8,003903001,003903
003903004,2,1,6,9,8,18,4,0,7,5,.,.,.,.,.,.,003,N,49.5,003903004,003903
003903140,1,0,0,1,0,2,1,0,2,0,.,.,.,12,41660,0.125,003,N,-1,003903140,003903
003904001,114,132,106,105,11,457,428,39,77,171,18.5,13.1,16.3,13.311111111,40390,39.6933,003,N,94.5,003904001,003904
003904005,13,21,27,25,1,86,72,0,6,52,11.6,15.4,13.5,23,45290,3.0214,003,N,91.5,003904005,003904
003907001,126,130,109,96,15,461,388,27,94,205,17.1,17.3,15.1,13.052631579,45807,36.6374,003,N,94.8,003907001,003907
004901001,278,242,226,237,21,983,591,54,121,531,18.6,19.8,21.5,10.611163901,44089,80.6381,004,N,94,004901001,004901
005902001,74,62,62,65,0,263,249,18,22,80,9.9,14.9,13.2,14.423076923,40482,25.4389,005,N,96.7,005902001,005902
005904001,36,42,28,34,0,140,109,15,18,61,10.2,9.8,10.3,14.35,43180,13.638,005,N,97.9,005904001,005904
007901001,39,37,43,35,0,154,25,14,19,117,10.5,11.2,13.2,15.470588235,49552,14.174,007,N,93.6,007901001,007901
007902001,78,94,71,83,1,326,125,32,37,182,11.2,11.9,13.3,15.914285714,49084,31.674,007,N,95.3,007902001,007902
007904001,112,121,133,125,5,491,126,48,36,309,19.3,19.7,19.9,11.472690122,45346,39.4295,007,N,94.4,007904001,007904
007905001,264,253,203,215,3,935,322,88,131,534,21.1,17.9,18.2,12.852272727,45108,78.8621,007,N,93.6,007905001,007905
007906001,159,129,95,108,3,491,81,40,49,368,13.8,15.7,18.3,12.594933159,44029,41.6581,007,N,93.4,007906001,007906
008901001,194,178,149,153,93,674,455,94,101,215,16.5,15.2,14.7,14.155251142,43670,53.8881,008,N,95.5,008901001,008901
008902001,208,194,195,155,110,752,348,53,93,366,15.9,15.4,15.5,13.310606061,48686,61.0202,008,N,94.2,008902001,008902
008903001,69,63,54,57,31,243,125,12,24,89,14,15.9,14.7,12.551724138,47024,24.7619,008,N,95.5,008903001,008903
009901001,96,84,83,68,1,331,68,30,43,258,12.6,12.3,11.9,11.257128781,41250,35.8642,009,N,94.8,009901001,009901
009901002,1,4,5,3,0,13,3,0,2,9,.,.,.,.,.,.,009,N,72.3,009901002,009901
010902001,234,188,207,170,1,799,600,129,102,322,17.5,15.4,20.2,14.972169211,49989,61.5109,010,N,93.3,010902001,010902
011901001,711,575,532,500,208,2318,1131,291,293,1243,20.7,20.6,23.7,11.457385773,47247,154.9417,011,N,93.6,011901001,011901
011901022,1,10,17,26,2,54,26,0,6,33,.,.,.,16.333333333,50069,5.999,011,N,77.8,011901022,011901
011902001,302,281,250,238,170,1071,420,40,120,633,21,21.5,21.8,10.957594181,47354,68.2918,011,N,93.7,011902001,011902
011902004,7,4,9,21,5,41,13,1,5,31,4.4,6.8,3.3,19.820717131,60305,2.8902,011,N,92.8,011902004,011902
011904002,163,119,121,125,53,528,382,31,73,209,13.8,13.9,16.5,11.477272727,43636,41.6252,011,N,94.9,011904002,011904
012901001,43,37,40,54,5,174,138,13,18,63,10.8,10.2,11.4,12.892857143,42199,22.7619,012,N,96.6,012901001,012901
013901001,377,230,220,183,35,1010,231,94,122,376,23.7,20.8,20.1,9.6089572193,44560,67.8898,013,N,92.8,013901001,013901
013901002,2,7,14,14,0,37,4,0,1,26,22.5,.,7,11.75,45507,4,013,N,89,013901002,013901
013905001,80,66,49,55,6,250,109,17,26,146,13,11.3,12.4,11.769230769,45660,24.9248,013,N,94.8,013905001,013905
014801001,31,35,59,33,74,158,41,0,25,103,5,8.6,6.8,10.238095238,42509,10.4988,014,Y,89.4,014801001,014801
014802001,15,18,30,17,36,80,22,0,3,47,21.9,28.8,.,1,39527,2.9995,014,Y,89.8,014802001,014802
014804005,4,10,27,8,1,49,37,0,4,0,5.2,6.2,1,20,51559,0.9918,014,Y,.,014804005,014804
014901001,83,79,77,76,6,315,247,24,30,92,13.8,14.1,10.9,17.5,45678,27.9971,014,N,95.7,014901001,014901
014903001,701,529,580,491,196,2301,1445,212,300,851,23.6,24.1,24.1,11.362737112,45812,166.3266,014,N,94,014903001,014903
014903005,4,29,49,19,3,101,65,1,5,54,6.8,20.8,13,13.636363636,45774,10.6276,014,N,80.3,014903005,014903
014905001,29,35,29,32,4,125,83,23,17,54,10.8,7.7,9.8,14.578629864,41783,16.9595,014,N,95.1,014905001,014905
014906001,648,450,396,336,841,1830,515,137,302,886,23.9,23.2,22.5,11.253978589,49001,130.7389,014,N,95.2,014906001,014906
014906002,731,643,542,569,1056,2485,735,215,329,944,21.7,25.3,25.6,10.544609709,48073,164.1077,014,N,94.3,014906002,014906
014906004,39,27,9,8,50,83,9,0,17,39,.,.,.,10.784806705,48907,12.9472,014,N,88.9,014906004,014906
014906006,8,23,32,65,42,128,44,1,13,69,.,.,.,17.233318972,54053,15.6798,014,N,76.7,014906006,014906
014906007,775,694,572,495,848,2536,1062,264,267,594,23.8,26.8,26.2,11.624489131,48605,162.8008,014,N,95,014906007,014906
014906008,689,554,484,443,1090,2170,553,78,300,925,24.2,23.9,27,10.277932882,47435,142.7221,014,N,94.2,014906008,014906
014907001,69,67,66,57,6,259,191,41,26,101,13.9,10.6,12.4,12.925036592,43275,26.7035,014,N,97.6,014907001,014907
