,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,48,45,47,48,7,188,3,165,27,37,51,11.1,11.8,11.1,11.2,43373,21,001,N,95.3,001902001,001902
001903001,103,88,103,74,14,368,6,314,20,40,169,10.2,13.1,15,14.4,45366,33.4,001,N,96,001903001,001903
001904001,65,66,53,47,22,231,2,175,18,19,119,13.8,14.3,12.5,13,43611,20.4,001,N,95.5,001904001,001904
001906002,30,27,22,33,11,112,1,86,6,22,48,11.7,7.4,9.6,10.3,48902,11.2,001,N,94.8,001906002,001906
001907001,278,238,236,175,242,927,7,293,30,90,592,16.7,21.6,21.3,10.6,45002,81.4,001,N,95.2,001907001,001907
001908002,119,120,103,96,85,438,5,247,15,44,236,12.4,12.5,14.4,13.8,43832,42.1,001,N,95.6,001908002,001908
001909001,26,27,23,26,1,102,0,92,3,14,35,11.9,11.8,11.8,13,46239,13,001,N,97,001909001,001909
002901001,303,253,243,218,17,1017,3,307,48,60,298,12.6,19.9,21.3,14.6,56933,77.9,002,N,96.6,002901001,002901
002901002,2,2,18,10,0,32,0,9,1,1,12,.,.,.,14.3,54839,6,002,N,92.9,002901002,002901
003902001,226,214,189,169,45,798,8,532,72,68,365,19.8,18.4,21.5,13.4,49518,54.7,003,N,95.2,003902001,003902
003903001,603,560,536,443,581,2142,43,656,250,285,1365,14.4,16.5,16.9,13.3,47244,173,003,N,94.9,003903001,003903
003903004,2,11,20,22,7,55,0,19,0,12,26,.,.,.,24,54560,-2,003,N,74.5,003903004,003903
003903201,2,3,1,1,2,7,0,5,0,1,6,.,.,.,14,46940,1,003,N,100,003903201,003903
003904001,151,144,141,121,8,557,0,494,43,48,227,19.9,20.7,21.5,14.2,45990,38.5,003,N,96,003904001,003904
003904005,4,6,14,10,2,34,0,31,0,9,24,.,.,.,13.3,42216,3,003,N,80.3,003904005,003904
003905001,124,131,128,124,62,507,1,163,26,65,390,18,16.7,18.4,14.1,50019,37.5,003,N,95.8,003905001,003905
003907001,123,127,113,106,31,469,1,345,23,66,203,16.1,17,16.2,9.4,46568,40,003,N,95,003907001,003907
004901001,277,291,226,205,14,999,29,572,31,82,435,17.6,21.2,22.4,10.7,46254,78,004,N,94.9,004901001,004901
005902001,77,66,81,55,2,279,1,248,18,22,51,9.8,11.8,15.1,17.1,47288,25.7,005,N,97.1,005902001,005902
005904001,39,42,38,49,0,168,0,122,20,17,49,10.2,11.1,13.5,14.4,46732,14.1,005,N,97.3,005904001,005904
007901001,44,39,39,28,1,150,0,7,5,18,103,8,13.8,13.1,5.9,43748,15.7,007,N,96.1,007901001,007901
007902001,130,98,130,100,3,458,2,203,34,35,197,14,14.3,15.3,15.1,54418,42.6,007,N,95.1,007902001,007902
007902006,2,0,1,1,0,4,0,0,0,0,3,.,.,.,34,88588,0.9,007,N,-1,007902006,007902
007904001,129,118,93,140,9,480,0,80,32,30,350,16.6,16.9,16.6,10.9,49689,44,007,N,94.1,007904001,007904
007905001,276,262,214,224,2,976,3,268,58,80,432,15.3,16,16.8,12.6,47804,72.2,007,N,94.4,007905001,007905
007905005,1,1,3,4,0,9,0,5,0,1,3,.,.,.,5,42840,1,007,N,70.6,007905005,007905
007906001,159,122,107,106,5,494,1,65,42,54,315,14.5,16.8,12.4,9.8,49270,37.3,007,N,92.8,007906001,007906
008901001,201,162,155,132,61,650,3,404,64,48,240,16.7,16,17.1,13.5,47041,48.5,008,N,96.3,008901001,008901
008902001,213,256,200,190,95,859,3,383,75,67,396,15.5,18.4,15.2,12.3,52568,60.4,008,N,94.4,008902001,008902
008903001,52,57,58,66,26,233,2,88,6,10,114,15.3,14.6,14.3,13.5,47771,19.1,008,N,95.8,008903001,008903
009901001,107,102,80,75,0,364,3,60,15,40,285,12.2,13.9,17.9,12.2,44614,34,009,N,95.8,009901001,009901
009901002,1,2,4,5,0,12,0,1,0,2,10,.,.,.,.,.,.,009,N,75,009901002,009901
010902001,186,170,159,158,4,673,3,444,56,46,275,12.9,15.5,18.6,15,50353,52.4,010,N,94.8,010902001,010902
011901001,392,344,313,298,113,1347,4,590,145,137,642,16.1,22.1,22.6,11.2,49093,91.1,011,N,93.6,011901001,011901
011901002,386,399,327,325,60,1437,7,348,109,143,902,19.7,21.1,20.1,8.7,48557,101.1,011,N,94.2,011901002,011901
011901022,2,20,32,19,6,73,0,20,0,11,51,.,.,.,17.4,52652,6.7,011,N,-1,011901022,011901
011902001,388,317,279,289,174,1273,6,374,91,105,864,18.7,20.3,20.5,8.7,48690,84.9,011,N,93,011902001,011902
011902004,1,9,9,19,5,38,0,14,0,4,25,3.6,2.5,5.8,30.7,62873,2.6,011,N,91.9,011902004,011902
011904002,166,127,133,121,42,547,2,336,49,45,249,19.8,15.7,20.4,13.8,49001,47.9,011,N,95.5,011904002,011904
012901001,42,37,49,39,7,167,2,119,9,15,68,6.8,8.1,9.6,13.6,43849,19,012,N,95.5,012901001,012901
013901001,321,263,234,188,25,1006,6,138,71,90,571,16.1,14.7,16.2,8.3,46562,65.5,013,N,92.2,013901001,013901
013905001,82,74,64,58,2,278,3,96,28,26,142,14,12.7,11.9,13,47888,21.7,013,N,94.5,013905001,013905
014801001,42,64,41,65,90,212,1,52,0,52,148,7.8,7.1,5.8,3.8,43678,9.3,014,Y,85.3,014801001,014801
014801002,102,138,98,100,11,438,0,107,0,28,234,14.6,14.5,14.6,5.2,46712,16.9,014,Y,86.3,014801002,014801
014801003,64,45,37,65,25,211,0,56,0,17,108,7.2,7.4,6.3,6.2,47207,7.7,014,Y,84.4,014801003,014801
014801004,65,62,59,57,21,243,0,65,0,33,180,12.4,11.2,9.6,8.8,45669,11.2,014,Y,79.5,014801004,014801
014801005,31,39,35,25,49,130,1,2,0,6,114,6.3,7.7,4.8,5.6,44614,5.6,014,Y,81.3,014801005,014801
014801006,41,60,52,37,69,190,1,33,0,19,99,7.3,6.8,7.8,8.1,43951,8.8,014,Y,78.7,014801006,014801
014801007,96,126,89,85,13,396,2,94,0,42,233,8.7,8.4,9.7,7.1,44295,15.8,014,Y,86.5,014801007,014801
014801008,42,43,68,47,9,200,2,120,0,22,143,6.7,5.7,5.5,9.2,45821,9.4,014,Y,82.6,014801008,014801
014804005,19,27,26,27,4,99,1,66,0,8,14,3.5,3.3,4.2,8.5,47016,2,014,Y,90.4,014804005,014804
014901001,112,108,110,76,10,406,6,286,36,32,110,17,14,14.9,18,49714,30.5,014,N,95.6,014901001,014901
014903001,746,698,636,626,207,2706,42,1458,244,327,1092,19.9,20.3,24,12.2,53867,182.2,014,N,94.4,014903001,014903
014903005,132,128,119,102,27,481,8,312,89,23,136,21.9,19,23.3,9.2,48379,20.8,014,N,94.9,014903005,014903
014905001,64,60,51,35,6,210,0,139,25,19,80,16.8,15.2,17.7,12.9,44936,17.7,014,N,96.5,014905001,014905
