,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
001904102,59,83,69,78,80,95,98,86,001904102,001904
001909101,63,97,63,75,79,96,96,81,001909101,001909
005902101,85,95,89,92,90,96,96,84,005902101,005902
010902101,49,71,70,81,74,83,82,70,010902101,010902
010902102,55,79,70,77,79,85,90,78,010902102,010902
011902102,59,60,36,55,49,86,83,68,011902102,011902
014903102,85,87,90,85,78,92,97,84,014903102,014903
014903114,73,81,76,61,74,84,83,51,014903114,014903
014905101,88,85,79,90,85,100,98,90,014905101,014905
014906104,42,70,81,59,70,86,86,69,014906104,014906
014906108,78,78,77,83,76,93,93,80,014906108,014906
014906115,81,89,77,79,84,89,91,69,014906115,014906
014906120,47,55,49,44,32,88,79,60,014906120,014906
014906121,78,85,77,87,85,96,98,83,014906121,014906
014906125,82,86,84,68,64,89,85,76,014906125,014906
014906126,91,93,92,86,86,89,93,81,014906126,014906
014906127,47,68,70,74,58,90,85,72,014906127,014906
014906129,56,77,52,67,67,91,88,73,014906129,014906
014906130,45,66,56,70,62,79,72,44,014906130,014906
014906132,58,81,78,80,72,93,91,73,014906132,014906
014906135,74,88,78,83,77,94,93,75,014906135,014906
015904102,53,63,52,60,62,81,74,55,015904102,015904
015906101,95,95,98,91,95,99,100,88,015906101,015906
015907101,57,69,77,80,73,92,82,79,015907101,015907
015907106,58,52,72,74,80,81,71,58,015907106,015907
015907124,58,60,53,61,58,88,74,67,015907124,015907
015907149,49,56,57,57,64,83,83,61,015907149,015907
015907150,60,67,55,66,68,79,78,67,015907150,015907
015907164,69,66,73,65,58,80,75,47,015907164,015907
015907165,50,50,43,47,44,90,88,82,015907165,015907
015907169,43,37,53,52,60,90,83,66,015907169,015907
015907174,67,71,50,62,64,92,85,71,015907174,015907
015908104,57,66,48,60,74,76,77,46,015908104,015908
015908105,48,52,49,59,81,66,71,35,015908105,015908
015908108,66,62,80,67,78,86,84,77,015908108,015908
015910104,73,66,56,61,59,92,83,77,015910104,015910
015910106,53,70,65,71,70,84,87,62,015910106,015910
015910110,35,59,50,58,50,79,94,73,015910110,015910
015910112,49,64,58,71,68,78,73,55,015910112,015910
015910113,50,63,68,75,63,85,81,72,015910113,015910
015910114,36,51,48,59,50,71,76,56,015910114,015910
015910116,58,75,76,73,82,94,91,79,015910116,015910
015910122,40,55,48,59,63,85,84,57,015910122,015910
015910128,78,90,82,90,90,99,98,94,015910128,015910
015910130,84,79,76,80,71,91,92,85,015910130,015910
015910131,83,94,78,82,82,98,100,98,015910131,015910
015910133,89,97,88,93,94,100,98,92,015910133,015910
015910134,96,92,87,92,89,98,98,88,015910134,015910
015910136,96,98,98,98,96,100,99,95,015910136,015910
015910140,93,96,84,90,92,98,98,92,015910140,015910
015910142,88,98,92,93,91,98,99,88,015910142,015910
015912101,68,71,55,49,53,84,82,67,015912101,015912
015912103,64,54,62,57,61,82,74,52,015912103,015912
015912106,48,49,54,52,56,82,73,73,015912106,015912
015912109,74,76,72,64,67,84,83,59,015912109,015912
015912110,50,74,45,46,51,78,68,52,015912110,015912
015914101,69,81,79,88,92,95,96,78,015914101,015914
015915101,66,68,83,69,72,91,85,74,015915101,015915
015915102,72,74,71,67,58,92,87,92,015915102,015915
015915103,51,61,61,57,65,80,75,67,015915103,015915
