,gr3_ela_avg,gr4_ela_avg,gr4_writ_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
001902103,90,97,88,97,68,001902103,001902
001904102,78,82,84,98,82,001904102,001904
001909101,92,81,84,95,90,001909101,001909
005902101,87,88,85,99,84,005902101,005902
010902101,82,64,57,96,79,010902101,010902
011902102,51,62,53,72,47,011902102,011902
014906121,88,80,80,98,76,014906121,014906
014906125,83,74,65,94,67,014906125,014906
014906126,100,91,82,100,77,014906126,014906
014906127,75,76,69,92,85,014906127,014906
014906129,73,69,70,84,47,014906129,014906
014906132,93,90,80,98,93,014906132,014906
014906135,83,87,73,95,78,014906135,014906
014907102,75,84,89,92,78,014907102,014907
015904102,53,66,63,76,65,015904102,015904
015906101,97,91,91,100,94,015906101,015906
015907101,72,52,54,95,79,015907101,015907
015907106,58,55,58,87,78,015907106,015907
015907111,55,33,45,72,48,015907111,015907
015907121,59,66,59,72,33,015907121,015907
015907124,63,75,61,81,69,015907124,015907
015907147,52,53,70,79,68,015907147,015907
015907150,68,62,68,88,64,015907150,015907
015907164,67,54,47,88,58,015907164,015907
015907165,71,51,56,90,87,015907165,015907
015907174,81,75,77,87,53,015907174,015907
015908101,66,78,83,89,54,015908101,015908
015908105,62,58,63,80,58,015908105,015908
015908108,67,76,72,90,70,015908108,015908
015910104,65,68,41,88,86,015910104,015910
015910106,83,59,47,91,65,015910106,015910
015910110,73,79,71,88,58,015910110,015910
015910112,67,51,52,90,71,015910112,015910
015910113,64,62,42,84,61,015910113,015910
015910114,47,58,43,83,65,015910114,015910
015910116,69,63,48,83,70,015910116,015910
015910122,50,55,52,73,45,015910122,015910
015910128,88,82,74,100,90,015910128,015910
015910130,82,86,77,91,71,015910130,015910
015910131,87,98,95,98,93,015910131,015910
015910133,96,89,90,97,83,015910133,015910
015910134,93,93,91,99,89,015910134,015910
015910136,97,98,98,99,97,015910136,015910
015910140,97,91,87,100,94,015910140,015910
015910142,96,93,86,97,93,015910142,015910
015912101,63,61,67,76,66,015912101,015912
015912103,62,50,50,79,64,015912103,015912
015912106,54,45,55,84,78,015912106,015912
015912109,82,70,65,84,61,015912109,015912
015912110,68,57,57,82,56,015912110,015912
015912111,83,58,61,85,77,015912111,015912
015914101,88,85,83,95,75,015914101,015914
015915101,62,74,73,81,67,015915101,015915
015915102,71,74,63,87,87,015915102,015915
015915103,74,67,75,96,76,015915103,015915
015915105,63,59,51,89,82,015915105,015915
015915106,84,75,60,89,81,015915106,015915
015915107,81,70,68,87,75,015915107,015915
015915108,81,83,73,95,84,015915108,015915
015915109,82,77,68,96,76,015915109,015915
015915111,79,76,72,96,94,015915111,015915
015915112,84,89,83,95,78,015915112,015915
015915113,66,71,73,70,47,015915113,015915
015915114,72,71,64,66,46,015915114,015915
015915115,72,65,57,83,71,015915115,015915
015915116,77,66,56,82,66,015915116,015915
015915117,61,71,63,86,70,015915117,015915
015915118,67,77,60,89,68,015915118,015915
015915119,74,70,66,93,80,015915119,015915
015915122,68,83,76,85,54,015915122,015915
015915123,62,65,53,84,72,015915123,015915
015915124,81,79,68,96,74,015915124,015915
015915125,62,79,66,92,82,015915125,015915
015915128,70,79,58,91,75,015915128,015915
015915130,78,77,64,89,76,015915130,015915
015915131,78,86,77,92,77,015915131,015915
015915132,77,70,71,92,75,015915132,015915
015915134,79,80,65,96,81,015915134,015915
015915135,81,75,61,95,79,015915135,015915
015915136,86,83,58,93,89,015915136,015915
015915138,75,85,83,90,83,015915138,015915
015915141,83,83,76,89,72,015915141,015915
015915143,87,83,80,99,90,015915143,015915
015915144,85,79,77,95,85,015915144,015915
015915145,89,86,68,96,82,015915145,015915
015915148,85,80,74,90,83,015915148,015915
015915149,80,78,63,90,69,015915149,015915
015915150,88,85,84,95,89,015915150,015915
015915151,86,89,78,98,90,015915151,015915
015915152,88,95,89,97,95,015915152,015915
015915156,82,87,74,94,82,015915156,015915
015915157,91,79,72,96,93,015915157,015915
015915158,71,80,79,82,60,015915158,015915
015915160,62,79,74,85,66,015915160,015915
015915161,88,85,78,97,89,015915161,015915
015915162,72,76,63,89,77,015915162,015915
015915165,99,90,77,97,86,015915165,015915
015915166,81,96,94,91,91,015915166,015915
015915167,83,85,81,88,79,015915167,015915
015915168,82,74,72,86,78,015915168,015915
015915169,79,86,67,94,78,015915169,015915
015915170,89,92,66,99,90,015915170,015915
015915171,87,78,70,88,71,015915171,015915
015915177,80,84,81,93,71,015915177,015915
015915178,96,96,94,100,91,015915178,015915
015915179,80,92,79,100,96,015915179,015915
015915180,94,95,94,100,92,015915180,015915
015915181,94,98,94,97,90,015915181,015915
015915182,76,80,71,96,89,015915182,015915
015915183,83,83,75,95,89,015915183,015915
015915184,79,79,79,84,68,015915184,015915
015915185,62,53,39,86,58,015915185,015915
015915186,90,92,79,98,89,015915186,015915
015915187,86,85,75,96,87,015915187,015915
015915188,85,89,84,98,92,015915188,015915
015915189,71,66,64,75,67,015915189,015915
015915191,90,91,84,99,87,015915191,015915
015915192,77,76,66,93,79,015915192,015915
015915193,90,87,80,100,91,015915193,015915
015915195,86,88,79,99,99,015915195,015915
015915198,83,72,59,88,77,015915198,015915
015915225,92,83,74,96,74,015915225,015915
015915234,89,92,85,98,89,015915234,015915
015915236,98,94,89,98,91,015915236,015915
015916101,70,71,46,94,53,015916101,015916
015916102,63,67,71,88,67,015916102,015916
015916103,78,79,85,92,63,015916103,015916
015916104,89,84,68,100,82,015916104,015916
015916105,72,69,68,79,52,015916105,015916
015916107,47,61,59,84,55,015916107,015916
015916111,76,65,67,83,67,015916111,015916
015916115,55,80,80,82,52,015916115,015916
015916117,82,83,76,84,70,015916117,015916
016902101,90,84,63,96,78,016902101,016902
019907113,83,77,77,93,80,019907113,019907
019909101,83,73,54,91,71,019909101,019909
019910101,80,87,64,78,75,019910101,019910
020901103,64,65,54,83,71,020901103,020901
020901109,73,73,64,85,78,020901109,020901
020901110,79,84,81,94,92,020901110,020901
020901111,85,88,86,97,96,020901111,020901
020901114,96,85,75,88,90,020901114,020901
020901115,80,82,82,92,90,020901115,020901
020902110,87,83,75,98,91,020902110,020902
020906104,79,79,72,96,78,020906104,020906
021902101,86,79,80,81,42,021902101,021902
027904102,82,73,63,81,72,027904102,027904
029901101,96,88,88,93,84,029901101,029901
030903101,60,50,46,73,71,030903101,030903
031901104,79,78,67,83,70,031901104,031901
031901108,76,61,70,76,54,031901108,031901
031901111,80,77,81,92,91,031901111,031901
031901113,73,69,55,96,92,031901113,031901
031901120,72,72,64,92,80,031901120,031901
031901121,81,78,80,85,66,031901121,031901
031901122,75,58,49,93,79,031901122,031901
031901124,78,66,80,91,40,031901124,031901
031901126,85,82,78,95,78,031901126,031901
031901128,71,77,79,93,84,031901128,031901
031901129,84,75,83,89,67,031901129,031901
031901134,67,70,73,86,59,031901134,031901
031901135,90,89,91,100,93,031901135,031901
031901136,83,82,82,94,85,031901136,031901
031901138,96,75,87,87,79,031901138,031901
031901139,88,86,88,98,91,031901139,031901
031901140,86,68,80,88,71,031901140,031901
031901143,84,71,78,84,73,031901143,031901
031901144,94,90,83,96,85,031901144,031901
031903102,84,72,59,84,75,031903102,031903
031903103,80,72,69,77,47,031903103,031903
031903104,89,89,79,98,95,031903104,031903
031903106,74,70,64,92,73,031903106,031903
031903117,89,80,81,93,83,031903117,031903
031903122,84,84,82,89,70,031903122,031903
031903123,80,73,76,90,76,031903123,031903
031906106,93,91,93,96,88,031906106,031906
031906107,85,80,74,99,91,031906107,031906
031906108,97,98,92,100,96,031906108,031906
031909102,67,75,73,78,57,031909102,031909
031912103,84,79,81,90,80,031912103,031912
031912104,86,83,84,93,75,031912104,031912
031912106,48,62,67,78,33,031912106,031912
031912110,66,78,81,85,67,031912110,031912
031912114,65,50,61,84,72,031912114,031912
031912115,71,60,78,78,63,031912115,031912
031914101,67,56,58,77,61,031914101,031914
033902101,94,94,94,100,98,033902101,033902
034903101,85,84,72,94,85,034903101,034903
034905102,97,78,84,95,79,034905102,034905
036901101,79,73,73,88,77,036901101,036901
038901102,88,90,91,97,80,038901102,038901
043905109,98,94,96,100,97,043905109,043905
043905112,95,94,92,100,95,043905112,043905
043905113,86,90,79,97,94,043905113,043905
043911101,71,72,74,81,73,043911101,043911
043917101,72,67,68,88,83,043917101,043917
044902101,83,78,83,91,72,044902101,044902
046901106,85,91,88,96,92,046901106,046901
046902101,86,96,89,100,91,046902101,046902
046902102,90,91,88,99,95,046902102,046902
046902113,82,84,83,95,81,046902113,046902
046902115,64,64,56,82,71,046902115,046902
046902120,78,81,59,93,91,046902120,046902
046902121,93,93,93,98,81,046902121,046902
046902123,79,82,75,92,81,046902123,046902
052901101,71,52,54,79,53,052901101,052901
053001103,70,50,62,72,50,053001103,053001
054903102,37,48,47,67,34,054903102,054903
057903102,81,80,79,87,71,057903102,057903
057903105,83,80,73,91,74,057903105,057903
057903109,85,81,77,91,90,057903109,057903
057903112,91,100,100,98,96,057903112,057903
057903116,88,79,75,85,77,057903116,057903
057903118,97,95,96,98,95,057903118,057903
057903121,72,66,70,87,61,057903121,057903
057903123,84,85,59,95,81,057903123,057903
057903124,85,79,72,92,76,057903124,057903
057903128,92,83,86,92,80,057903128,057903
057904108,76,79,87,92,74,057904108,057904
057905109,61,51,61,76,58,057905109,057905
057905110,52,39,45,54,35,057905110,057905
057905120,74,82,82,93,57,057905120,057905
057905122,45,33,38,80,60,057905122,057905
057905125,78,61,62,78,49,057905125,057905
057905129,62,58,67,56,47,057905129,057905
057905139,50,39,44,70,57,057905139,057905
057905142,54,38,36,80,71,057905142,057905
057905145,73,59,56,84,69,057905145,057905
057905147,65,66,71,91,73,057905147,057905
057905148,73,85,81,100,65,057905148,057905
057905149,66,67,60,87,39,057905149,057905
057905154,70,65,71,86,69,057905154,057905
057905156,72,61,62,73,65,057905156,057905
057905163,64,50,46,85,41,057905163,057905
057905164,60,69,71,77,61,057905164,057905
057905166,71,65,51,85,55,057905166,057905
057905167,68,68,70,94,75,057905167,057905
057905169,63,72,62,98,65,057905169,057905
057905174,79,67,58,94,74,057905174,057905
057905175,43,23,27,62,38,057905175,057905
057905176,50,49,69,75,51,057905176,057905
057905180,71,77,86,92,74,057905180,057905
057905183,67,52,64,74,50,057905183,057905
057905187,71,64,69,89,58,057905187,057905
057905189,51,50,58,76,59,057905189,057905
057905192,56,49,54,67,46,057905192,057905
057905193,81,66,76,88,69,057905193,057905
057905194,58,67,71,76,64,057905194,057905
057905200,46,48,56,84,80,057905200,057905
057905203,90,72,77,89,64,057905203,057905
057905207,60,42,56,77,29,057905207,057905
057905208,64,72,74,71,58,057905208,057905
057905210,86,69,74,87,68,057905210,057905
057905215,67,57,53,92,71,057905215,057905
057905220,43,53,58,73,20,057905220,057905
057905224,90,85,79,100,87,057905224,057905
057905225,48,47,53,69,19,057905225,057905
057905230,77,82,87,98,89,057905230,057905
057905235,62,57,68,83,63,057905235,057905
057905236,45,47,47,77,44,057905236,057905
057905237,62,69,82,85,51,057905237,057905
057905240,64,62,66,72,46,057905240,057905
057905247,59,63,65,78,56,057905247,057905
057905266,69,65,77,73,45,057905266,057905
057905279,88,65,66,93,62,057905279,057905
057905280,82,62,60,93,69,057905280,057905
057905284,61,66,59,77,51,057905284,057905
057905286,63,58,67,88,70,057905286,057905
057905289,56,53,60,87,68,057905289,057905
057905304,75,73,83,85,79,057905304,057905
057906103,65,60,66,90,58,057906103,057906
057906106,57,62,57,78,48,057906106,057906
057906107,64,84,84,86,69,057906107,057906
057909109,57,64,51,94,78,057909109,057909
057909113,70,72,83,73,32,057909113,057909
057909116,75,76,60,72,62,057909116,057909
057909120,72,72,74,87,65,057909120,057909
057909138,85,86,81,95,73,057909138,057909
057909154,82,76,71,92,73,057909154,057909
057909155,92,90,85,92,78,057909155,057909
057909157,73,72,68,85,71,057909157,057909
057909158,67,75,62,76,61,057909158,057909
057909159,69,64,57,91,74,057909159,057909
057910119,68,81,60,85,81,057910119,057910
057910126,74,82,79,91,63,057910126,057910
057912103,69,62,54,79,55,057912103,057912
057913106,68,63,67,90,77,057913106,057913
057913107,54,57,54,72,48,057913107,057913
057914104,73,74,70,80,59,057914104,057914
057914112,69,57,50,79,51,057914112,057914
057914116,66,66,65,84,67,057914116,057914
057914123,93,83,77,99,88,057914123,057914
057914132,73,83,74,84,62,057914132,057914
057922110,92,98,95,99,86,057922110,057922
057922111,88,89,82,97,78,057922111,057922
057922112,92,94,88,96,85,057922112,057922
061901107,76,63,72,87,57,061901107,061901
061901109,80,88,83,96,95,061901109,061901
