,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902103,40,41,45,20,267,233,28,44,110,.,.,.,13.954545455,36434,20.8352,001,N,96.3,001902103,001902
001903101,89,94,85,45,618,539,16,102,360,.,.,.,13.146341463,34769,40.8799,001,N,96.7,001903101,001903
001904102,57,53,68,60,357,276,16,44,206,.,.,.,16.419354839,37097,29.8941,001,N,96.1,001904102,001904
002901103,0,0,207,3,282,108,16,68,162,.,.,.,14.530382403,42028,19.6329,002,N,96.7,002901103,002901
005902101,62,70,70,7,395,371,25,32,137,.,.,.,10.961538462,33446,25.2841,005,N,97.4,005902101,005902
006902101,27,27,41,3,175,160,14,32,89,.,.,.,8.5882352941,32191,15.9874,006,N,97.8,006902101,006902
008903102,50,50,50,58,362,140,9,38,189,.,.,.,15.533333333,42296,29.2762,008,N,96.8,008903102,008903
010902101,88,90,98,5,598,447,65,94,355,.,.,.,12.546699938,38063,48.3602,010,N,95.8,010902101,010902
010902102,82,88,84,4,519,407,35,79,221,.,.,.,7.7142857143,34624,40.5634,010,N,95.8,010902102,010902
011902101,106,107,112,151,766,224,38,76,538,.,.,.,14.098138596,40578,48.8726,011,N,96.5,011902101,011902
013905101,44,50,54,10,320,98,23,29,236,.,.,.,12.543013706,37801,23.4868,013,N,96.1,013905101,013905
014905101,42,28,35,15,246,167,4,20,141,.,.,.,15.375,36899,21.795,014,N,96.5,014905101,014905
014906103,64,73,67,235,532,114,27,80,455,.,.,.,6.2391304348,37369,41.1035,014,N,95.5,014906103,014906
014906104,58,51,46,144,378,154,45,46,258,.,.,.,9.4728643978,40900,31.3299,014,N,96.3,014906104,014906
014906106,59,68,76,292,496,107,32,97,345,.,.,.,8.784043729,40167,42.0749,014,N,97,014906106,014906
014906108,81,86,60,181,650,335,32,67,269,.,.,.,11.984063728,42133,47.4791,014,N,96.3,014906108,014906
014906109,105,88,78,259,652,138,17,79,470,.,.,.,6.5118793498,38181,46.679,014,N,96.8,014906109,014906
014906110,99,79,104,252,735,197,34,90,400,.,.,.,8.9367415176,40471,53.0209,014,N,96.5,014906110,014906
014906119,95,98,77,391,748,200,44,88,461,.,.,.,8.6506632805,39490,51.019,014,N,96.7,014906119,014906
014906122,116,105,116,366,761,212,47,109,453,.,.,.,10.391296121,40933,54.1502,014,N,96.4,014906122,014906
