,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902103,45,34,44,14,260,1,210,22,27,89,.,.,.,18.9,45678,22.1,001,N,96,001902103,001902
001904102,57,64,72,39,435,4,324,21,33,268,.,.,.,16.9,42945,25,001,N,96.1,001904102,001904
005902101,64,72,76,0,429,1,381,20,34,128,.,.,.,15.3,42954,29.4,005,N,97.4,005902101,005902
006902101,25,25,28,2,165,0,126,1,15,83,.,.,.,13,42053,15.6,006,N,96.2,006902101,006902
010902101,81,82,87,1,544,4,342,15,56,338,.,.,.,14.1,49933,32.2,010,N,95.1,010902101,010902
011902102,88,107,94,75,790,1,112,35,61,686,.,.,.,8.4,47501,50,011,N,96,011902102,011902
014906105,111,110,81,129,717,5,190,8,72,595,.,.,.,12.1,53024,53.1,014,N,95.3,014906105,014906
014906115,124,118,106,157,760,6,285,38,97,383,.,.,.,10.9,51072,51.5,014,N,95.5,014906115,014906
014906121,118,147,143,190,923,47,361,52,82,318,.,.,.,9.9,51189,59.5,014,N,96.1,014906121,014906
014906125,101,73,89,234,624,12,124,3,73,465,.,.,.,8.9,49910,41.3,014,N,95.3,014906125,014906
014906126,38,33,31,108,438,13,171,10,58,239,.,.,.,15.3,56005,37.4,014,N,96.1,014906126,014906
014906127,119,95,119,246,867,12,117,5,99,596,.,.,.,9.6,50071,55.5,014,N,95.9,014906127,014906
014906129,94,87,99,296,707,21,141,18,72,438,.,.,.,9,49642,49.8,014,N,95.6,014906129,014906
014906132,82,67,48,122,576,15,236,5,60,386,.,.,.,9.8,50683,43.2,014,N,95.4,014906132,014906
014906135,169,188,162,369,1048,20,239,26,103,504,.,.,.,9.7,50334,67.2,014,N,97.2,014906135,014906
014907102,63,64,72,11,385,2,265,17,22,200,.,.,.,13.8,44648,25.1,014,N,96.8,014907102,014907
015904105,97,94,84,1,809,0,2,18,77,780,.,.,.,9.8,53863,45.2,015,N,95,015904105,015904
015904116,84,72,79,2,614,0,4,21,38,564,.,.,.,10.1,54376,37.5,015,N,95.3,015904116,015904
015906101,103,87,98,94,604,14,302,37,51,72,.,.,.,14.5,55531,43.5,015,N,96.8,015906101,015906
015907101,99,77,85,10,655,1,6,9,62,617,.,.,.,14.3,54848,40,015,N,96.4,015907101,015907
015907106,67,75,62,4,470,0,5,18,44,447,.,.,.,10.7,53293,31,015,N,96.8,015907106,015907
015907114,82,86,79,318,599,4,20,2,42,560,.,.,.,11.9,54669,34,015,N,95.6,015907114,015907
015907121,84,89,82,1,636,0,6,21,54,621,.,.,.,10.1,52469,36,015,N,96.1,015907121,015907
015907141,114,111,106,15,788,0,16,23,74,739,.,.,.,12.3,54251,44.5,015,N,96.2,015907141,015907
015907150,100,99,96,13,612,4,17,8,86,544,.,.,.,12.1,54033,37,015,N,95.8,015907150,015907
015907164,97,72,69,42,607,4,32,8,68,548,.,.,.,12.9,54699,39,015,N,96.5,015907164,015907
015907165,73,57,76,32,446,0,6,1,31,431,.,.,.,7.9,52787,29.6,015,N,96,015907165,015907
015907174,69,70,66,0,476,1,7,13,48,442,.,.,.,16.6,56546,31,015,N,96.6,015907174,015907
015908101,57,68,56,1,418,1,5,21,39,399,.,.,.,11.3,53012,28.3,015,N,96.4,015908101,015908
015908106,58,84,87,1,544,0,7,16,47,516,.,.,.,10.3,53018,33.4,015,N,95.8,015908106,015908
015908108,126,104,102,19,714,1,13,36,63,637,.,.,.,12.6,52788,41.6,015,N,95.4,015908108,015908
015908113,94,85,95,6,630,0,5,28,56,561,.,.,.,9.4,52031,38.3,015,N,95.7,015908113,015908
015910104,59,91,73,13,503,2,34,8,63,420,.,.,.,13.7,56551,35.1,015,N,95.9,015910104,015910
015910106,91,71,94,32,630,25,108,8,77,400,.,.,.,13.9,56080,39.6,015,N,96.1,015910106,015910
015910110,45,54,67,59,411,14,44,6,52,328,.,.,.,12,56790,29.7,015,N,95.6,015910110,015910
015910112,97,97,99,33,691,15,50,25,63,597,.,.,.,8.7,53947,50.1,015,N,96,015910112,015910
015910113,72,73,73,119,525,18,58,8,55,444,.,.,.,12.2,55379,39,015,N,95.4,015910113,015910
015910114,104,111,95,117,780,18,39,13,88,682,.,.,.,9.8,54385,53.6,015,N,96.2,015910114,015910
015910116,51,46,37,52,353,4,67,5,49,291,.,.,.,13.2,54996,29.7,015,N,96.1,015910116,015910
