,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
001902103,91,94,71,91,88,100,100,86,001902103,001902
003906101,73,91,31,66,69,100,97,76,003906101,003906
005904101,84,96,68,84,84,100,100,93,005904101,005904
006902101,48,81,72,94,89,97,100,87,006902101,006902
007902101,75,80,72,74,72,90,79,73,007902101,007902
008903102,45,85,78,73,76,94,90,82,008903102,008903
013903101,96,93,73,64,59,77,92,81,013903101,013903
014903103,72,72,75,75,79,95,93,85,014903103,014903
014903104,66,61,55,55,49,88,76,63,014903104,014903
014903116,73,84,70,75,64,94,96,70,014903116,014903
014906102,81,83,76,81,86,87,85,87,014906102,014906
014906103,70,72,49,71,61,86,83,64,014906103,014906
014906105,70,73,86,84,84,93,91,74,014906105,014906
014906109,82,81,65,79,67,89,83,56,014906109,014906
014906110,71,84,68,70,77,95,92,78,014906110,014906
014906111,53,69,60,54,66,74,70,35,014906111,014906
014906112,53,82,67,73,65,93,77,51,014906112,014906
014906113,50,59,55,79,65,71,81,57,014906113,014906
014906117,68,82,79,83,88,91,92,75,014906117,014906
014906119,35,48,48,53,61,80,92,52,014906119,014906
014906122,68,79,73,81,80,97,95,78,014906122,014906
014906123,75,90,74,83,86,94,93,69,014906123,014906
014906124,71,83,67,89,85,93,93,73,014906124,014906
014906128,85,81,74,68,69,93,97,87,014906128,014906
014906131,72,78,72,82,77,89,88,60,014906131,014906
014906133,63,76,68,76,77,95,93,80,014906133,014906
014906136,68,83,73,79,75,89,87,72,014906136,014906
014906137,89,93,75,80,86,95,92,94,014906137,014906
014906138,75,83,79,76,74,87,93,77,014906138,014906
014907102,73,70,82,76,76,94,96,83,014907102,014907
015815103,-1,82,-1,73,55,67,67,75,015815103,015815
015819102,-1,29,37,63,63,86,100,-1,015819102,015819
015822004,-1,-1,-1,73,55,63,75,-1,015822004,015822
015822008,59,41,41,53,76,80,87,67,015822008,015822
015904101,88,76,81,72,88,99,96,86,015904101,015904
015904103,37,61,55,62,65,83,75,59,015904103,015904
015904104,60,63,78,74,72,79,81,63,015904104,015904
015904105,42,54,41,58,45,76,79,67,015904105,015904
015904106,50,49,49,65,70,80,72,60,015904106,015904
015904107,75,64,60,64,61,87,86,77,015904107,015904
015904108,51,61,68,60,76,96,89,76,015904108,015904
015904109,53,62,66,66,79,92,86,74,015904109,015904
015904110,42,54,51,49,64,86,78,75,015904110,015904
015904113,27,39,40,48,50,68,75,43,015904113,015904
015904114,42,42,28,47,47,77,73,52,015904114,015904
015904116,64,60,48,56,57,79,73,48,015904116,015904
015905112,55,68,50,61,67,86,82,74,015905112,015905
015907103,54,51,58,56,68,67,70,48,015907103,015907
015907105,66,75,70,77,82,90,92,69,015907105,015907
015907110,76,67,64,58,56,86,83,53,015907110,015907
015907111,60,51,32,38,36,75,64,45,015907111,015907
015907112,78,76,76,70,80,87,86,77,015907112,015907
015907114,57,55,69,80,86,74,89,50,015907114,015907
015907116,55,60,46,54,63,89,76,80,015907116,015907
015907118,42,44,33,32,33,70,59,48,015907118,015907
015907119,63,52,56,44,56,75,77,49,015907119,015907
015907121,37,44,56,55,59,85,76,71,015907121,015907
015907123,33,52,49,63,69,89,81,72,015907123,015907
015907125,51,49,63,60,65,86,80,73,015907125,015907
015907126,73,64,90,72,86,84,84,53,015907126,015907
015907127,32,56,26,52,39,81,78,70,015907127,015907
015907129,64,69,55,56,64,93,84,72,015907129,015907
015907132,55,52,47,56,68,81,74,71,015907132,015907
015907134,73,76,66,63,70,86,78,75,015907134,015907
015907135,39,54,38,45,52,80,80,58,015907135,015907
015907136,59,49,52,53,46,75,58,51,015907136,015907
015907137,63,55,63,49,60,68,63,54,015907137,015907
015907139,68,70,52,57,64,79,83,74,015907139,015907
015907140,32,28,40,47,56,88,79,53,015907140,015907
015907141,51,60,52,56,70,80,75,67,015907141,015907
015907143,76,74,43,51,54,84,81,75,015907143,015907
015907146,65,70,89,64,82,88,65,47,015907146,015907
015907147,69,62,52,50,44,83,76,74,015907147,015907
015907148,62,55,63,57,65,76,81,63,015907148,015907
015907153,46,44,36,53,47,67,61,36,015907153,015907
015907155,66,66,50,56,60,68,72,47,015907155,015907
015907156,59,53,48,57,48,91,85,73,015907156,015907
015907158,53,56,55,56,60,86,88,77,015907158,015907
015907160,62,59,54,61,67,63,61,55,015907160,015907
015907161,64,69,55,53,62,68,73,53,015907161,015907
015907162,62,54,52,66,85,88,79,52,015907162,015907
015907167,62,68,61,65,57,93,84,73,015907167,015907
015907168,53,40,39,49,45,59,59,41,015907168,015907
015907173,41,45,38,48,53,60,78,50,015907173,015907
015907175,52,62,53,48,45,82,73,64,015907175,015907
015907176,56,54,60,61,58,81,70,45,015907176,015907
015908101,59,65,86,80,86,90,94,80,015908101,015908
015908106,63,64,66,63,72,70,64,50,015908106,015908
015908107,61,70,56,63,80,96,91,84,015908107,015908
015908109,18,47,62,64,67,72,70,47,015908109,015908
015908110,68,69,36,45,51,65,69,31,015908110,015908
015908112,60,61,55,59,79,88,83,71,015908112,015908
015908113,46,65,46,68,77,74,74,35,015908113,015908
