,gr3_ela_avg,gr4_ela_avg,gr4_writ_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
003906101,91,77,73,96,61,003906101,003906
005904101,83,91,91,100,96,005904101,005904
006902101,79,71,75,94,100,006902101,006902
007902101,74,80,73,74,63,007902101,007902
008903102,90,70,50,80,85,008903102,008903
010902102,80,74,71,98,87,010902102,010902
013903101,60,81,73,88,54,013903101,013903
014905101,97,72,74,100,87,014905101,014905
014906102,86,88,96,98,93,014906102,014906
014906103,66,59,49,87,72,014906103,014906
014906105,71,78,73,89,65,014906105,014906
014906108,85,82,71,96,74,014906108,014906
014906109,85,69,67,90,77,014906109,014906
014906110,72,74,61,85,66,014906110,014906
014906111,64,63,49,80,64,014906111,014906
014906112,56,54,52,84,47,014906112,014906
014906113,59,72,47,85,70,014906113,014906
014906115,89,81,82,92,74,014906115,014906
014906117,86,80,81,92,80,014906117,014906
014906119,58,47,43,76,47,014906119,014906
014906120,63,56,52,79,42,014906120,014906
014906122,76,62,61,88,62,014906122,014906
014906123,67,88,87,89,44,014906123,014906
014906124,90,79,78,99,85,014906124,014906
014906128,74,77,62,93,87,014906128,014906
014906130,77,73,72,84,50,014906130,014906
014906131,83,74,60,91,75,014906131,014906
014906133,76,70,64,88,83,014906133,014906
014906136,85,89,81,95,79,014906136,014906
014906137,83,84,74,92,92,014906137,014906
014906138,85,81,75,90,68,014906138,014906
014906139,76,79,67,91,67,014906139,014906
015815103,-1,-1,-1,-1,-1,015815103,015815
015819102,65,-1,38,80,33,015819102,015819
015822008,71,53,53,86,64,015822008,015822
015904101,94,67,64,94,75,015904101,015904
015904103,63,56,60,79,60,015904103,015904
015904104,69,64,75,83,66,015904104,015904
015904105,53,50,54,72,63,015904105,015904
015904106,53,64,60,83,66,015904106,015904
015904107,63,64,60,86,65,015904107,015904
015904108,68,74,72,86,74,015904108,015904
015904109,80,65,70,93,67,015904109,015904
015904110,57,71,62,84,64,015904110,015904
015904113,60,53,46,83,43,015904113,015904
015904114,60,45,34,81,69,015904114,015904
015904116,54,65,60,78,70,015904116,015904
015905112,76,68,68,81,72,015905112,015905
015907103,44,64,72,71,53,015907103,015907
015907105,79,88,86,97,70,015907105,015907
015907110,77,74,68,88,69,015907110,015907
015907112,69,82,77,92,74,015907112,015907
015907114,69,59,73,89,59,015907114,015907
015907116,54,51,48,76,71,015907116,015907
015907118,50,46,44,59,38,015907118,015907
015907119,43,45,67,59,34,015907119,015907
015907123,57,62,53,91,88,015907123,015907
015907125,52,52,56,79,58,015907125,015907
015907126,76,54,56,82,75,015907126,015907
015907127,58,27,33,55,32,015907127,015907
015907129,73,71,57,81,68,015907129,015907
015907132,76,52,57,85,80,015907132,015907
015907134,68,79,73,87,68,015907134,015907
015907135,53,53,49,63,35,015907135,015907
015907136,66,49,44,85,61,015907136,015907
015907137,80,60,59,84,74,015907137,015907
015907139,76,49,32,94,97,015907139,015907
