,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
003906101,30,40,40,0,239,237,9,25,136,.,.,.,10.866666667,34531,15,003,N,95.6,003906101,003906
007901101,41,32,45,0,265,40,6,22,209,.,.,.,15.628571429,38625,17.5,007,N,96.4,007901101,007901
007902101,84,77,95,5,598,237,39,37,392,.,.,.,8.0256410256,35807,36.6256,007,N,97.3,007902101,007902
011902102,126,101,109,92,757,286,35,58,460,.,.,.,8.02079368,37133,48.8609,011,N,96.4,011902102,011902
014906102,58,66,63,94,422,146,47,37,225,.,.,.,10.430988777,42184,34.7333,014,N,97.3,014906102,014906
014906105,88,90,94,153,618,258,32,67,445,.,.,.,10.606085106,41808,46.3438,014,N,96.7,014906105,014906
014906111,69,83,95,239,528,155,37,57,338,.,.,.,13.568181818,44223,41.3978,014,N,96.4,014906111,014906
014906112,54,47,50,197,471,141,12,46,371,.,.,.,10.825,40870,39.1433,014,N,95.3,014906112,014906
014906113,65,64,79,240,556,190,31,65,345,.,.,.,12.069536534,41830,42.5243,014,N,96.3,014906113,014906
014906115,117,129,143,108,720,488,91,112,279,.,.,.,13.300295992,43221,53.4564,014,N,96.5,014906115,014906
014906117,89,89,84,224,681,298,25,54,391,.,.,.,8.155824218,39395,45.7684,014,N,96.2,014906117,014906
014906120,101,116,98,334,701,180,32,69,346,.,.,.,9.8596491228,40551,52.4564,014,N,96.8,014906120,014906
014906121,180,194,154,223,1003,580,92,78,303,.,.,.,12.164164219,42517,62.7046,014,N,96.9,014906121,014906
014906123,95,100,117,295,730,272,20,79,538,.,.,.,8.3457943925,39676,51.6065,014,N,95.6,014906123,014906
014906124,159,137,170,368,908,295,66,94,323,.,.,.,9.2190619582,40137,62.2857,014,N,97.4,014906124,014906
014906125,86,98,95,310,664,210,26,59,381,.,.,.,7.9969528199,38603,49.9211,014,N,97.1,014906125,014906
014906126,58,57,53,153,449,176,36,47,260,.,.,.,12.8,43670,37.9217,014,N,96.1,014906126,014906
014906130,95,103,92,298,638,186,26,58,348,.,.,.,6.6297456144,37557,45.0247,014,N,96.2,014906130,014906
