,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
003906101,27,26,32,3,189,0,178,6,19,117,14,.,.,14.5,43525,16.3,003,N,96.4,003906101,003906
005904101,30,27,30,1,185,0,125,4,12,66,.,.,.,13.5,42317,14,005,N,97.2,005904101,005904
006902101,24,26,18,3,159,0,125,0,9,68,.,.,.,11.3,39616,15.1,006,N,96.6,006902101,006902
007902101,119,106,116,9,770,1,285,20,58,469,.,.,.,10.5,47810,44.8,007,N,97,007902101,007902
008903102,58,72,51,26,384,2,157,12,18,220,.,.,.,12.8,47384,27.1,008,N,96.6,008903102,008903
010902102,66,89,77,2,519,2,342,23,61,251,.,.,.,14.5,51345,32,010,N,95.7,010902102,010902
013903101,28,27,31,3,194,0,58,5,22,111,.,.,.,10.3,43399,13.9,013,N,96,013903101,013903
014905101,42,43,43,6,274,0,184,2,22,147,.,.,.,18.2,46167,23.6,014,N,96.8,014905101,014905
014906102,70,80,61,132,534,11,143,13,55,351,.,.,.,10.3,49566,35.6,014,N,97,014906102,014906
014906103,71,80,67,208,563,10,103,1,90,466,.,.,.,8,47411,37.2,014,N,94.8,014906103,014906
014906105,112,84,91,129,752,9,204,13,76,604,.,.,.,12.2,51276,55.5,014,N,96,014906105,014906
014906108,71,138,119,149,726,25,332,27,58,243,.,.,.,11,50382,51.8,014,N,96,014906108,014906
014906109,108,97,89,176,765,11,113,7,69,620,.,.,.,9.6,50898,54.1,014,N,96,014906109,014906
014906110,104,118,113,261,842,14,143,8,69,588,.,.,.,10.1,48421,53.7,014,N,96.1,014906110,014906
014906111,78,62,52,186,470,10,95,7,53,352,.,.,.,8.7,49824,33.9,014,N,95.7,014906111,014906
014906112,81,62,67,188,540,4,72,2,69,476,.,.,.,12.5,52082,39.8,014,N,94.3,014906112,014906
014906113,77,87,70,244,575,15,111,1,79,445,.,.,.,8.2,47524,41,014,N,95.1,014906113,014906
014906115,113,85,96,143,693,6,292,40,67,350,.,.,.,12.7,49846,45.1,014,N,96,014906115,014906
014906117,72,57,58,106,659,15,287,10,30,300,.,.,.,10.3,50120,42.1,014,N,96.1,014906117,014906
014906119,76,87,74,315,646,4,103,5,78,499,.,.,.,9.3,49777,44.7,014,N,95.8,014906119,014906
014906120,143,127,116,490,961,21,129,6,66,715,.,.,.,8,47508,58.3,014,N,95.7,014906120,014906
014906122,185,149,143,477,1124,45,182,16,111,704,.,.,.,7.6,48519,70.6,014,N,96.2,014906122,014906
014906123,106,100,75,215,822,17,310,40,69,672,.,.,.,9.6,49678,51.8,014,N,95.4,014906123,014906
014906124,105,112,106,228,736,17,219,21,49,387,.,.,.,9,48707,45.2,014,N,96.5,014906124,014906
014906128,75,71,70,142,653,4,309,15,92,488,.,.,.,7.9,48976,44.9,014,N,95.5,014906128,014906
014906130,103,91,111,400,758,13,105,25,78,582,.,.,.,7.5,47880,47.9,014,N,95.5,014906130,014906
014906131,159,130,115,339,969,9,229,23,95,552,.,.,.,9.3,49932,62.9,014,N,96.3,014906131,014906
014906133,173,166,161,347,1089,24,276,39,89,422,.,.,.,8.5,48404,64.5,014,N,96.7,014906133,014906
014906136,158,150,140,218,975,37,431,40,120,261,.,.,.,7.5,47712,59,014,N,96.4,014906136,014906
014906137,88,87,81,76,579,7,275,16,78,325,.,.,.,12,49974,39,014,N,95.6,014906137,014906
014906138,155,129,157,275,1036,25,338,18,82,497,.,.,.,7.3,47676,61.3,014,N,96.2,014906138,014906
014906139,106,123,101,275,833,25,183,22,66,466,.,.,.,12.8,52182,50.8,014,N,.,014906139,014906
015815103,11,10,7,32,97,1,17,0,4,85,.,.,.,3.5,39304,5.5,015,Y,93.3,015815103,015815
015819102,23,18,18,110,194,0,7,0,11,153,.,.,.,5.3,40450,11.2,015,Y,94.5,015819102,015819
015822008,30,18,16,0,202,0,20,2,6,139,.,.,.,0.9,33193,15.8,015,Y,96.8,015822008,015822
015904101,73,84,78,3,554,1,12,31,50,499,.,.,.,9.4,51735,30.6,015,N,97,015904101,015904
015904103,74,92,80,0,535,0,3,3,48,481,.,.,.,8.6,51674,30.4,015,N,96.2,015904103,015904
015904104,80,75,73,1,501,0,4,23,34,485,.,.,.,9.9,51706,30,015,N,96.6,015904104,015904
015904105,97,83,91,1,816,0,3,18,81,786,.,.,.,9.7,52299,47.3,015,N,95.9,015904105,015904
015904106,116,108,103,3,845,0,7,20,54,724,.,.,.,9,52557,46,015,N,95.8,015904106,015904
