,gr6_ela_avg,gr7_ela_avg,gr7_writ_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
001902041,94,83,87,98,79,001902041,001902
001903041,82,77,76,98,83,001903041,001903
001904041,85,74,69,94,73,001904041,001904
002901041,67,70,68,79,63,002901041,002901
003902041,91,89,87,99,88,003902041,003902
003903044,71,70,69,88,74,003903044,003903
003904041,79,78,67,89,75,003904041,003904
004901041,75,81,82,84,79,004901041,004901
005902041,85,83,78,95,78,005902041,005902
005904041,89,97,88,97,97,005904041,005904
007902041,76,69,70,92,77,007902041,007902
007904041,60,58,39,68,33,007904041,007904
007906041,67,71,66,81,42,007906041,007906
008901041,85,78,85,94,81,008901041,008901
008902041,70,78,84,89,62,008902041,008902
008903041,78,83,78,87,87,008903041,008903
009901041,72,83,81,89,67,009901041,009901
010902041,77,80,79,95,72,010902041,010902
011902041,68,67,56,78,53,011902041,011902
011904041,56,68,65,89,69,011904041,011904
013905041,90,89,89,100,90,013905041,013905
014903043,84,77,68,90,80,014903043,014903
014903044,76,72,65,83,67,014903044,014903
014903045,88,85,77,97,84,014903045,014903
014905041,87,92,82,100,96,014905041,014905
014906009,.,.,.,.,.,014906009,014906
014906042,64,69,66,82,58,014906042,014906
014906043,65,64,56,87,59,014906043,014906
014906044,55,74,62,87,66,014906044,014906
014906045,86,82,89,93,61,014906045,014906
014906046,74,76,64,86,56,014906046,014906
014906048,79,70,59,89,65,014906048,014906
014906049,83,88,83,95,78,014906049,014906
014906050,69,73,58,89,58,014906050,014906
014906051,86,86,78,95,89,014906051,014906
014906052,84,86,82,99,79,014906052,014906
014906053,83,82,77,93,74,014906053,014906
014907041,83,84,86,86,40,014907041,014907
014909041,59,57,53,79,58,014909041,014909
014909042,59,62,49,79,65,014909042,014909
014909044,75,62,57,82,63,014909044,014909
014910041,78,84,76,95,84,014910041,014910
015802004,53,75,50,78,83,015802004,015802
015805041,67,77,67,87,57,015805041,015805
015808009,90,88,80,100,46,015808009,015808
015901041,88,92,87,97,82,015901041,015901
015904041,57,60,53,76,66,015904041,015904
015904042,71,64,63,80,69,015904042,015904
015904043,76,76,83,89,75,015904043,015904
015904044,60,68,62,85,72,015904044,015904
015904045,.,.,.,.,.,015904045,015904
015904047,.,.,.,.,.,015904047,015904
015905041,58,65,51,77,50,015905041,015905
015906041,92,95,90,98,89,015906041,015906
015907041,59,52,35,70,52,015907041,015907
015907043,50,57,34,64,33,015907043,015907
015907046,60,56,49,63,42,015907046,015907
015907047,66,58,51,83,56,015907047,015907
015907049,51,48,39,71,46,015907049,015907
015907050,59,68,61,84,55,015907050,015907
015907051,62,57,56,78,46,015907051,015907
015907053,57,67,61,82,70,015907053,015907
015907054,61,65,46,73,47,015907054,015907
015907055,68,68,65,84,58,015907055,015907
015907057,52,74,61,74,37,015907057,015907
015907058,63,67,45,80,64,015907058,015907
015907059,65,77,74,86,65,015907059,015907
015907061,55,58,50,61,35,015907061,015907
015908041,69,73,68,76,54,015908041,015908
015908042,56,58,57,70,51,015908042,015908
015908043,50,49,46,72,37,015908043,015908
015908044,65,72,70,87,65,015908044,015908
015910041,82,75,73,92,73,015910041,015910
015910042,80,81,72,92,88,015910042,015910
015910043,72,80,76,91,75,015910043,015910
015910044,70,71,71,85,63,015910044,015910
015910045,77,83,72,93,64,015910045,015910
015910046,62,59,52,84,52,015910046,015910
015910047,76,81,77,93,85,015910047,015910
015910048,91,89,88,98,88,015910048,015910
015910049,84,83,82,95,85,015910049,015910
015910050,97,95,95,99,96,015910050,015910
015910053,.,.,.,.,.,015910053,015910
015910056,97,96,93,99,94,015910056,015910
