,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
001902041,93,78,71,80,77,93,98,78,001902041,001902
001903041,87,83,74,78,74,84,82,77,001903041,001903
001904041,93,79,74,82,75,98,96,78,001904041,001904
002901041,68,60,57,69,62,84,82,72,002901041,002901
003801042,82,78,85,89,87,79,88,70,003801042,003801
003902041,93,86,86,84,77,94,95,86,003902041,003902
003903044,71,60,66,68,65,91,82,70,003903044,003903
003904041,79,65,71,66,62,93,84,74,003904041,003904
004901041,62,61,76,68,64,76,83,74,004901041,004901
005902041,90,77,92,94,89,93,95,81,005902041,005902
005904041,89,81,84,78,88,91,93,93,005904041,005904
007902041,88,73,72,78,64,96,92,79,007902041,007902
007904041,60,54,46,42,41,76,73,69,007904041,007904
007906041,64,60,71,67,70,80,81,61,007906041,007906
008901041,85,72,76,73,71,89,88,76,008901041,008901
008902041,79,70,70,76,64,82,79,61,008902041,008902
008903041,83,73,79,87,83,95,87,87,008903041,008903
009901041,85,63,72,66,66,94,88,68,009901041,009901
010902041,62,71,74,80,75,84,86,78,010902041,010902
011902041,61,56,41,58,54,79,79,69,011902041,011902
011904041,77,64,69,74,77,86,83,74,011904041,011904
013905041,80,70,91,88,81,97,98,79,013905041,013905
014901041,85,79,85,61,71,90,92,85,014901041,014901
014903043,81,73,53,73,68,90,89,81,014903043,014903
014903044,73,66,31,63,62,83,83,79,014903044,014903
014903045,86,80,69,86,83,95,94,88,014903045,014903
014905041,98,75,78,80,78,98,98,98,014905041,014905
014906009,.,.,.,.,.,.,.,.,014906009,014906
014906042,75,60,61,65,56,82,80,60,014906042,014906
014906043,76,58,69,66,57,80,83,62,014906043,014906
014906044,73,57,67,66,55,71,80,67,014906044,014906
014906046,81,70,70,71,68,69,83,72,014906046,014906
014906048,66,54,52,56,53,79,82,61,014906048,014906
014906049,85,68,81,74,71,92,89,79,014906049,014906
014906050,74,61,61,68,62,79,87,74,014906050,014906
014906051,92,86,87,85,78,84,91,82,014906051,014906
014906052,88,78,80,76,72,92,94,72,014906052,014906
014906053,86,70,76,74,67,93,88,80,014906053,014906
014907041,73,83,72,88,81,74,89,66,014907041,014907
014909041,49,52,62,63,49,73,76,55,014909041,014909
014909042,39,48,61,51,45,81,70,73,014909042,014909
014909044,59,62,68,65,61,86,79,75,014909044,014909
014910041,76,76,77,72,68,87,88,85,014910041,014910
015802004,81,81,21,38,38,86,91,100,015802004,015802
015805041,65,55,51,48,50,68,86,73,015805041,015805
015901041,90,82,56,83,78,93,92,82,015901041,015901
015904041,62,51,67,67,58,92,76,78,015904041,015904
015904042,68,58,50,63,59,90,84,72,015904042,015904
015904043,67,55,64,70,61,91,84,74,015904043,015904
015904044,67,59,59,55,52,88,83,72,015904044,015904
015904045,.,.,.,.,.,.,.,.,015904045,015904
015905041,67,56,42,51,39,75,74,60,015905041,015905
015905044,64,50,63,64,55,80,81,60,015905044,015905
015905046,70,44,49,58,43,59,67,52,015905046,015905
015906041,95,91,92,94,88,97,96,94,015906041,015906
015907043,49,35,39,51,39,78,77,72,015907043,015907
015907047,66,51,62,54,49,72,79,71,015907047,015907
015907049,32,32,31,34,32,72,64,50,015907049,015907
015907050,43,35,51,52,39,63,68,52,015907050,015907
015907051,48,40,45,54,52,58,78,52,015907051,015907
015907053,38,24,29,38,34,45,61,57,015907053,015907
015907054,35,45,35,48,42,41,65,52,015907054,015907
015907055,55,47,56,60,48,73,80,59,015907055,015907
015907057,40,36,36,47,43,49,68,46,015907057,015907
015907059,67,53,55,64,61,81,82,70,015907059,015907
015907061,34,34,36,46,36,56,62,43,015907061,015907
015908041,46,52,67,56,54,83,82,76,015908041,015908
015908042,53,44,41,46,50,75,74,62,015908042,015908
015908043,45,54,41,49,52,80,83,59,015908043,015908
015908044,68,61,57,70,65,76,83,64,015908044,015908
015910041,71,69,66,70,65,90,86,71,015910041,015910
015910042,65,63,71,71,63,96,89,85,015910042,015910
015910043,61,59,66,69,64,78,82,78,015910043,015910
015910044,69,59,65,73,67,89,79,64,015910044,015910
015910045,60,56,71,65,63,96,88,76,015910045,015910
015910046,65,60,67,66,59,76,74,57,015910046,015910
015910047,70,65,73,73,61,82,86,77,015910047,015910
015910048,84,82,77,87,82,89,92,83,015910048,015910
015910049,79,69,70,78,64,88,92,81,015910049,015910
015910050,92,87,91,88,89,94,96,95,015910050,015910
015910053,.,.,.,.,.,.,.,.,015910053,015910
015910056,91,89,89,92,84,95,97,94,015910056,015910
015910057,95,92,96,94,94,96,97,94,015910057,015910
015910058,79,75,76,81,69,88,87,83,015910058,015910
015910059,90,81,87,89,85,95,97,93,015910059,015910
015911043,53,50,45,56,53,69,76,64,015911043,015911
015911044,48,53,37,59,52,55,76,45,015911044,015911
015912041,78,63,67,66,64,82,82,70,015912041,015912
015912042,66,48,55,52,48,63,74,57,015912042,015912
