,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902041,56,45,48,14,149,127,20,19,46,14.9,14.3,13.1,10.5,40404,13.3007,001,N,96.7,001902041,001902
001903041,88,96,112,11,296,266,17,36,128,16.4,16.9,17.1,11.709567423,38532,26.1795,001,N,95.8,001903041,001903
001904041,49,56,51,22,156,125,8,28,84,14,11.2,15.3,9.4090909091,37184,16.038,001,N,95,001904041,001904
001907041,235,228,250,209,713,261,41,53,494,16.1,20.8,16.6,11.569230769,40175,60.4509,001,N,96,001907041,001907
002901041,242,228,209,12,679,253,35,77,269,15.9,18,17.5,14.730769231,55625,49.726,002,N,95.3,002901041,002901
003903044,602,586,611,511,1799,723,225,314,1161,16.8,20.9,23.6,14.203125,43684,124.8525,003,N,95.8,003903044,003903
003904041,127,139,103,8,369,349,37,32,171,19.9,14.7,19.1,11.451612903,38880,29.6895,003,N,95,003904041,003904
003905041,126,118,128,54,372,145,22,38,270,13.2,17,14.5,9.8857142857,39406,32.435,003,N,96.3,003905041,003905
003907041,111,125,122,17,358,296,15,54,174,15.8,19.2,17.4,13.666666667,42972,28.4054,003,N,96,003907041,003907
004901041,241,225,249,15,715,407,31,81,442,46,39.7,20.5,12.26984127,43489,56.0064,004,N,95.8,004901041,004901
005902041,71,62,69,1,202,190,17,20,50,15.1,15.2,14.7,11.875,38298,15.4227,005,N,97.1,005902041,005902
007901041,48,30,33,0,111,19,5,9,83,17.9,16.3,16.3,11.151065616,46157,8.7886,007,N,96.4,007901041,007901
007902041,111,94,68,1,273,104,28,26,143,17.1,21.4,21.6,15.307692308,48721,21.2593,007,N,97.2,007902041,007902
007904041,134,127,114,1,375,78,24,16,261,17,19.7,18.5,9.1515151515,42547,29.5469,007,N,96.5,007904041,007904
007906041,127,132,136,1,395,58,31,40,318,17.7,11.9,18.7,9.2352941176,41358,28.2035,007,N,95,007906041,007906
008901041,144,156,176,53,476,328,77,67,160,15.7,17.5,19.1,13.807228916,42667,40.2894,008,N,96.2,008901041,008901
008902041,172,197,204,83,573,263,57,95,264,18.4,13.6,17.7,12.276595745,45966,43.0558,008,N,96.6,008902041,008902
008903041,62,61,55,26,178,75,4,17,91,12.6,13.8,14.5,17.035895743,47827,16.0366,008,N,96.6,008903041,008903
009901041,111,102,106,0,319,66,24,37,259,14.6,15.7,16,13.46875,41503,28.5736,009,N,96,009901041,009901
010902041,173,188,208,6,569,435,75,75,287,19,21.2,18,13.177777778,48162,41.6323,010,N,95.9,010902041,010902
011902041,289,267,261,135,817,280,51,89,540,21.2,21.1,26.3,12.350877193,45109,52.5041,011,N,95.7,011902041,011902
011904041,127,137,155,46,419,288,25,42,188,16.1,13.7,20.9,11.761904762,41045,35.1535,011,N,95.5,011904041,011904
013901041,239,264,302,18,805,154,76,79,515,-2,-2,38.2,13.471698113,43850,51.4249,013,N,94.4,013901041,013901
013905041,52,56,59,4,167,54,15,17,101,18.7,17.3,19,13.307692308,43917,11.9882,013,N,96.1,013905041,013905
014903042,279,300,306,54,885,515,88,128,486,16.7,15.7,18.6,12.878345913,41777,71.1957,014,N,95.8,014903042,014903
014903043,350,303,305,90,958,604,91,106,314,18.8,19.1,19.9,12.282043686,42169,68.081,014,N,96.3,014903043,014903
014905041,64,44,30,10,138,91,27,12,64,14.3,13.7,14.8,15.870165275,44438,11.3236,014,N,96.3,014905041,014905
014906009,19,33,33,52,85,18,0,17,72,.,.,.,15.461538462,52507,12.9999,014,N,89,014906009,014906
014906041,134,121,132,133,387,135,21,68,259,12.4,13.4,18.7,5.4047619048,43771,39.5928,014,N,94.1,014906041,014906
014906042,224,234,216,241,674,238,83,108,333,16.9,20,20.6,11.210720716,47590,51.4604,014,N,95.5,014906042,014906
