,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902041,42,50,44,2,136,0,114,13,16,46,14.4,14.2,15.3,15.3,48304,12.6,001,N,97.2,001902041,001902
001903041,88,94,112,18,294,3,235,8,34,147,14.9,14.7,17.2,12.5,43100,23.6,001,N,97.1,001903041,001903
001904041,77,68,53,19,198,1,155,30,18,100,19.6,15,20.3,12.6,41563,12.3,001,N,96.1,001904041,001904
002901041,310,311,302,10,923,3,261,73,87,385,22.6,19,23.7,13.6,55991,54.7,002,N,97,002901041,002901
003801042,91,85,70,40,246,3,153,47,19,104,9.5,12.7,22.2,7.6,46282,13.4,003,Y,.,003801042,003801
003902041,227,219,200,37,646,8,443,48,58,318,21.4,20,19.4,14.1,48977,49.2,003,N,97.1,003902041,003902
003903044,572,585,538,472,1695,29,458,195,219,1277,16.7,18.5,21.7,11.9,46305,122.1,003,N,96.9,003903044,003903
003904041,112,142,105,8,359,0,311,16,41,178,21.3,20.3,20.4,11.2,44072,30.7,003,N,95.5,003904041,003904
004901041,269,290,218,16,777,15,387,38,90,437,15.1,20.9,20.2,12.8,45939,52.6,004,N,95.7,004901041,004901
005902041,86,69,75,1,230,0,208,13,15,46,13.6,11.8,13.1,15.8,45390,15.9,005,N,97.3,005902041,005902
005904041,28,32,31,2,91,0,63,10,9,41,15.3,9.8,15.8,14.4,43766,8,005,N,97.5,005904041,005904
007902041,104,113,107,6,324,0,134,20,37,175,16.6,16.9,18,14.7,54256,28,007,N,96.9,007902041,007902
007904041,127,133,116,3,376,0,67,20,22,270,17.4,15.2,17.6,12,52543,26.8,007,N,95.7,007904041,007904
007906041,135,121,130,1,386,1,49,29,40,280,12.6,17.7,19,8.7,46309,28.2,007,N,94.9,007906041,007906
008901041,163,181,191,46,535,2,316,63,50,264,19.1,17.8,19.3,13.1,48186,36.3,008,N,96.6,008901041,008901
008902041,187,203,226,55,616,3,244,38,61,341,16.6,15.4,20,12.3,53476,45.4,008,N,96.3,008902041,008902
008903041,71,57,48,8,176,1,78,15,12,91,13.1,10.4,15,17,49646,14.8,008,N,96.9,008903041,008903
009901041,112,103,94,1,309,3,52,6,43,253,12.9,11.1,14.1,14.2,45353,25.8,009,N,96.7,009901041,009901
010902041,178,166,168,3,512,2,334,39,68,267,22,19.5,23.5,11.6,48495,32.5,010,N,95.2,010902041,010902
011902041,301,316,306,115,923,7,183,96,108,681,17.4,17.8,17.5,8.3,48418,55.9,011,N,96.2,011902041,011902
011904041,139,129,127,29,395,2,240,36,42,258,21,20,17.1,10.9,47514,33.5,011,N,95.7,011904041,011904
013905041,67,73,61,2,201,3,51,15,26,126,20.5,14.9,22.3,11.5,46340,16.2,013,N,96.1,013905041,013905
014901041,113,100,119,20,332,3,234,27,26,117,19.5,16.4,18.3,14,48255,22.2,014,N,96.6,014901041,014901
014903043,281,277,263,78,821,21,434,83,102,383,22.3,19.8,22.5,11.3,51520,52.9,014,N,96.1,014903043,014903
014903044,272,262,253,39,787,7,361,93,85,449,18.7,18.2,24,9.5,50871,52.8,014,N,96.4,014903044,014903
014903045,312,326,316,52,954,20,628,115,115,315,21,21.5,23.3,10.8,50839,60.8,014,N,96.4,014903045,014903
014905041,48,48,52,3,148,0,100,11,11,68,13.1,13.9,14.1,13.3,45422,11.4,014,N,95.9,014905041,014905
014906009,9,12,21,28,42,0,7,0,11,28,.,.,.,12.6,56814,15.4,014,N,85.5,014906009,014906
014906042,262,259,262,298,783,17,110,12,161,592,18,23.4,21.7,9.4,50815,52.7,014,N,94.3,014906042,014906
014906043,252,214,238,287,704,8,135,26,126,455,18.5,24.4,23.2,8.5,50203,48,014,N,95.3,014906043,014906
014906044,251,256,215,316,722,17,101,26,133,444,16.9,21.7,22.4,9.8,51270,48.7,014,N,95.4,014906044,014906
014906046,250,250,238,158,738,12,241,40,101,415,11.2,19.8,21.9,9.1,51454,50.3,014,N,94.7,014906046,014906
014906048,332,265,317,452,914,19,117,38,132,604,20.2,23.3,22,7.3,49697,59,014,N,95,014906048,014906
014906049,293,256,304,303,853,25,154,44,95,369,14.4,22.5,24.1,10.1,52253,56.3,014,N,96.1,014906049,014906
014906050,272,263,284,389,819,17,128,16,125,451,13.8,22.5,22.1,9.4,51959,50.7,014,N,95.4,014906050,014906
014906051,286,295,332,228,913,39,319,76,81,218,16.9,21.4,20.6,10.2,52103,58.9,014,N,96,014906051,014906
014906052,284,282,264,212,830,16,308,64,102,424,17.7,18.7,23.3,12.6,54542,57.5,014,N,96.1,014906052,014906
014906053,470,474,473,531,1417,39,281,75,156,624,19.3,17.5,22.3,6.7,49331,92,014,N,96,014906053,014906
014907041,75,61,64,4,200,2,129,26,14,88,14.7,16.5,15.6,13.2,45024,17.2,014,N,97.8,014907041,014907
014909041,196,204,197,188,597,4,130,27,71,487,15.7,13.5,16.8,7.7,46980,50.4,014,N,94.6,014909041,014909
014909042,233,214,245,221,692,17,150,50,75,513,16.8,17.9,18.5,6.9,44739,55,014,N,94.7,014909042,014909
014909044,181,174,138,90,493,7,151,41,78,324,17,19.1,20.5,7.3,46630,41.5,014,N,94.1,014909044,014909
014910041,113,107,109,7,329,3,215,42,46,158,17.5,16.7,19,9.6,43939,23.4,014,N,96.6,014910041,014910
015802004,39,39,31,67,109,0,2,0,11,105,17.3,11.5,17.3,1.7,33295,6.9,015,Y,92.2,015802004,015802
015805041,71,75,66,4,212,0,9,0,23,190,19.9,20.4,19.7,3.6,46916,12.7,015,Y,96.3,015805041,015805
015901041,366,386,391,23,1143,28,612,296,88,232,21,24.4,28.6,11.2,56839,71.8,015,N,96.4,015901041,015901
015904041,302,279,284,4,865,2,11,66,80,783,25.1,26.4,25.5,11.1,56361,57.6,015,N,95.2,015904041,015904
015904042,272,283,255,0,810,0,5,61,77,764,20,21.5,18.8,8.9,53952,62.2,015,N,94.6,015904042,015904
015904043,235,262,233,0,730,0,21,83,95,638,16.8,18.4,15.7,10.7,55512,50.4,015,N,95,015904043,015904
015904044,225,213,217,2,655,0,15,54,74,572,12.8,13,12.5,12.5,57271,44.5,015,N,95.4,015904044,015904
015904045,1,3,3,0,7,0,0,0,1,7,4.4,5,4.6,5.5,53324,4.9,015,N,85.3,015904045,015904
015905041,200,248,241,4,689,1,6,29,84,602,17.2,18.6,18.7,8.6,53637,41.9,015,N,93,015905041,015905
015905044,228,233,192,18,653,0,3,59,73,617,21.8,18.8,22.7,10.1,54582,39.5,015,N,94,015905044,015905
015905046,249,241,221,2,711,0,6,44,89,604,22.2,23.4,23.4,7.8,53630,40.1,015,N,93.2,015905046,015905
015906041,119,120,114,65,353,12,153,42,32,31,21.1,19,21.1,14.9,56407,21.9,015,N,97.5,015906041,015906
015907043,192,208,227,233,627,10,15,18,92,619,10.6,9.8,11.8,6.3,56770,36.4,015,N,94.5,015907043,015907
015907047,248,257,266,2,771,0,1,69,98,704,13,19.4,11.9,13.4,55321,42.1,015,N,96.2,015907047,015907
015907049,248,254,245,7,747,1,7,28,96,713,14.1,12.6,12.4,3.6,52771,44.5,015,N,93.2,015907049,015907
015907050,299,268,338,11,905,3,13,38,156,825,11.7,11.7,14.5,11.6,55220,54.7,015,N,94.3,015907050,015907
015907051,152,146,146,8,444,0,8,28,70,423,11,12.4,10.8,8.8,54067,27.3,015,N,95,015907051,015907
015907053,103,142,151,7,396,0,12,16,51,365,9.8,9.7,9.6,10.3,54146,24.8,015,N,95.2,015907053,015907
015907054,191,176,203,32,570,0,6,35,74,550,10.3,9.8,10.9,11.3,55055,33.3,015,N,94,015907054,015907
015907055,247,268,241,21,756,0,5,74,82,717,9.5,9.6,8.8,7,53432,42.6,015,N,94.5,015907055,015907
015907057,155,210,198,44,563,2,21,24,90,532,18,11.6,13.6,7.7,53461,35.3,015,N,93.2,015907057,015907
015907059,275,307,294,4,876,0,20,60,116,804,9.9,10.4,10,8.3,53592,50.1,015,N,96.8,015907059,015907
015907061,224,241,245,7,710,0,4,53,78,669,10.4,10.5,10.4,8.6,53891,44.2,015,N,94.2,015907061,015907
015908041,162,157,142,2,461,0,4,46,33,447,23.6,19.4,20.9,7.8,53071,32,015,N,95.2,015908041,015908
015908042,210,190,207,11,607,0,16,51,47,504,25.4,19.5,19.5,8.7,52774,38,015,N,94.2,015908042,015908
015908043,170,156,154,6,480,0,5,43,30,405,19.8,20.3,21.4,7.8,53575,31,015,N,96.2,015908043,015908
015908044,166,199,190,2,555,0,8,59,39,425,21.5,19.8,18,8.9,53660,35.2,015,N,96.9,015908044,015908
015910041,387,370,381,73,1138,25,228,49,138,632,22.4,21.5,27.3,11.5,55742,68.6,015,N,95.4,015910041,015910
015910042,345,323,336,119,1004,10,162,61,128,711,18.8,17.1,21.4,11.1,55345,67.5,015,N,95.9,015910042,015910
