,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,788228,67534.0,,37056.0,125048.0,,,,,,,,,,968.0,,,,
001902041,518226,13812.0,,13828.0,40514.0,,,,,,,,,,641.0,,,,
001902103,852587,,8657.0,136955.0,100615.0,1082.0,,,,,,,,,2793.0,,,,
001903001,1133100,192112.0,,,231641.0,,,,,,,,,,51028.0,,,,
001903041,815128,1200.0,,,122193.0,,,,,,,,,,13229.0,,,,
001903101,1589483,,,,239779.0,,,,,,,,,,16721.0,,,,
001904001,772004,105320.0,,360.0,80885.0,,,,,,,,,,24192.0,,,,
001904041,491075,59.0,,,71940.0,,,,,,,,,,5503.0,,,,
001904102,1240649,,15015.0,,105189.0,,,,,,,,,,19828.0,,,,
001904999,61779,,,,761.0,,24375.0,,,,,,,200000.0,38566.0,215002.0,31763.0,,
001906002,440710,,,42216.0,65726.0,,,,,,,,,,8911.0,73992.0,,-364.0,
001906102,574789,,,93951.0,102042.0,,,,,,,,,,,49730.0,,,
001907001,1843785,348152.0,44382.0,17581.0,730575.0,3961.0,,,,,,,,,76392.0,186292.0,,7268.0,
001907041,2062305,42889.0,3900.0,9530.0,494078.0,7668.0,,,,,,,,,22000.0,106626.0,,3436.0,
001907101,1102621,,2500.0,1100.0,248055.0,2715.0,,,,,,,,,4368.0,42655.0,,1532.0,
001907107,1525316,,3600.0,1700.0,188850.0,-4216.0,,,,,,,,,3526.0,55698.0,,1170.0,
001907110,1868448,,62891.0,13781.0,384952.0,1799.0,,,,,,,,,7646.0,101094.0,,2590.0,
001908002,1164326,,56996.0,91438.0,311795.0,87778.0,,,,,,,,,2350.0,,11754.0,11837.0,
001908041,624625,,77880.0,80243.0,220417.0,7541.0,,,,,,,,,645.0,,11754.0,5162.0,
001908101,1154216,,32445.0,135874.0,189170.0,,,,,,,,,,,,11754.0,1673.0,
001908102,686165,,80037.0,322243.0,119581.0,,,,,,,,,,,,11754.0,2763.0,
001909001,481782,16528.0,9542.0,,89051.0,5968.0,,,,,,,,,30.0,,,2391.0,
001909101,627643,,,318506.0,74883.0,,,,,,,,,,42.0,,,,
001909999,1939,,,,,,,,,,,,,,9712.0,67815.0,11420.0,7460.0,745797.0
002901001,2890531,383579.0,44649.0,239386.0,448994.0,,,,,,,,,,62306.0,,,,
002901041,2346166,71355.0,40860.0,181297.0,318003.0,,,,,,,,,,29512.0,,,,
002901101,1467172,,11551.0,382879.0,375168.0,5809.0,,,,,,,,,18408.0,,,,
002901104,1373986,,69916.0,353532.0,345589.0,,,,,,,,,,17333.0,,,,
002901105,1764593,,134338.0,253505.0,465765.0,8330.0,,,,,,,,,19104.0,,,,
003902001,1746464,136673.0,15211.0,390.0,285691.0,15200.0,,,,,,,,,186055.0,,,,
003902041,1905892,27536.0,21598.0,98033.0,223954.0,18314.0,,,,,,,,,58883.0,,,,
003902101,1128857,,,19328.0,114013.0,36201.0,,,,,,,,,4871.0,690.0,,,
003902102,1487070,,4980.0,,263843.0,8684.0,,,,,,,,,141278.0,,,,
003902999,604,,,,101446.0,,1172094.0,7304.0,,,,,,700000.0,59175.0,723384.0,85727.0,,
003903001,6167828,345781.0,4494.0,766373.0,1510755.0,2000.0,,,,,,,,,257924.0,1172.0,,8998.0,
003903003,287631,,,522.0,94027.0,,,,,,,,,,36394.0,,,59.0,
003903044,5389834,,,369530.0,1177637.0,12297.0,,,,,,,,,174311.0,28.0,,5341.0,
003903120,927242,,,105021.0,202949.0,,,,,,,,,,7672.0,,,650.0,
003903121,1274447,,53386.0,139753.0,283659.0,,,,,,,,,,26583.0,,,1332.0,
003903122,1032634,,,110149.0,520588.0,,,,,,,,,,12976.0,,,149.0,
