,SAT_avg,ACT_avg,SAT/ACT_pct
001902,982,21.2,60
001903,994,21,69.8
001904,912,18.4,53.5
001906,1057,22,52.6
001907,981,20.9,45.2
001908,983,21.1,44.6
001909,.,.,16
002901,932,19.7,47.3
003801,.,.,.
003902,989,18,57.4
003903,963,19.7,59.6
003904,959,23.6,25
003905,908,18.8,68.8
003906,.,.,31.6
003907,971,19.1,50.7
004901,964,20,54.9
005901,1053,22.5,63.6
005902,961,20.1,76.9
005903,.,.,14.3
005904,981,22.1,65
006902,.,19.9,77.8
007901,.,17.1,47.4
007902,1050,20.6,74.1
007904,986,20.7,47.1
007905,984,21.1,59.3
007906,872,16.8,45.3
008901,1009,21.2,60.3
008902,967,18.9,68
008903,872,19.3,77.6
009901,1023,19.4,72.9
009903,.,.,.
010901,915,17.8,.
010902,956,19.7,67.5
011901,1036,20.8,51.5
011902,947,18.3,41.1
011904,990,20.6,59.3
011905,.,.,.
012901,1008,23,64.9
013901,922,18.1,63.6
013902,.,.,.
013903,882,17.7,48
013905,.,18.6,51.1
014801,.,.,0
014802,.,.,.
014803,.,.,.
014901,1035,22.7,62.7
014902,876,18,54.5
014903,991,19.4,90.9
014905,1018,19.8,54.3
014906,938,20.2,60
014907,1019,19.1,61.8
014908,1001,20.2,64.9
014909,1035,21.6,68.3
014910,974,20.7,66.7
015801,.,.,.
015802,.,.,.
015803,.,.,.
015805,.,.,.
015806,.,.,.
015807,783,.,.
015808,.,.,.
015809,.,.,.
015810,.,.,.
015811,.,.,.
015813,.,.,.
015814,.,.,.
015815,.,.,.
015818,.,.,.
015819,.,.,.
015901,1106,21.8,87.9
015904,827,17.1,51.4
015905,784,16.9,61.4
015906,960,21.7,85.5
015907,800,17.1,61.1
015908,817,17.2,53.2
015909,891,.,67.2
015910,1017,21.2,80
015911,916,19,67
015912,845,19.5,54.3
015913,1030,22.4,91.3
015914,992,19.4,86.8
015915,995,20.9,66.8
015916,980,20.9,72.9
015917,803,16.9,45.1
016901,1099,19.4,57.6
016902,961,21.1,61.5
017901,1014,19.9,100
018901,1038,20.7,74.1
018902,1029,21.7,81.8
018903,.,.,50
