,SAT_avg,ACT_avg,SAT/ACT_pct
001902,894,21.4,38.1
001903,989,21.3,50.8
001904,905,17.3,60.8
001906,920,-1,54.5
001907,878,20.2,44.8
001908,928,17.2,67.9
001909,939,-1,47.4
002901,946,22.9,32.9
003801,.,.,.
003902,980,21.8,70.5
003903,981,19.6,47
003904,987,21,30.6
003905,983,19,75.6
003906,841,.,62.5
003907,913,19.1,51.2
004901,970,19.6,68.5
005901,1076,22.9,61.5
005902,1037,22.5,65.4
005904,1100,21,80
006902,-1,21.1,100
007901,-1,16.8,72.7
007902,910,19.9,40
007904,856,17.6,53.7
007905,951,21,45.6
007906,842,19.3,37.6
008901,1012,23.3,60.7
008902,977,19.4,66.9
008903,987,16.8,55.4
009901,1118,19.9,62.9
010901,933,20.2,95.2
010902,978,20.7,66.2
011901,964,20.8,46.5
011902,931,19.4,45.3
011904,1035,20.7,53.9
011905,.,.,.
012901,.,21.7,76.1
013801,.,.,.
013901,1008,17.8,40.7
013902,.,.,.
013903,-1,16.8,39.1
013905,-1,18.6,53.6
014801,-1,.,7.3
014802,-1,-1,15.8
014803,-1,.,57.1
014804,.,.,0
014901,1016,20.6,56
014902,833,-1,79.2
014903,1024,22.3,52
014905,-1,20.3,60.7
014906,945,19.8,60.7
014907,940,20.4,51.8
014908,991,22.4,72.9
014909,1030,22.5,47.9
014910,1001,20.7,54.2
015801,711,.,25.9
015802,-1,-1,10.5
015803,.,.,.
015805,.,.,.
015806,813,-1,59.4
015807,874,.,4.9
015808,.,.,.
015809,.,.,.
015812,.,.,0
015814,-1,.,4.2
015815,.,.,0
015816,-1,.,17.6
015817,.,-1,1.4
015819,830,.,15.6
015820,.,.,0
015822,839,15.6,64.3
015823,.,.,0
015824,.,.,0
015825,.,.,.
015826,.,.,.
015827,981,-1,-2
015828,.,.,.
015830,949,21.9,44.4
015831,.,.,.
015832,.,.,.
015833,.,.,.
015901,1122,24.2,91.4
015904,842,17.1,50.9
015905,819,15.8,55
015906,1075,24.3,70.6
015907,833,16.5,59.8
015908,879,18.2,39
015909,836,17.9,70.2
015910,1028,22.3,69.8
015911,914,19.9,54.7
015912,836,18.7,45
015913,1017,22.8,85.7
015914,1006,23,87.9
015915,998,21.4,64.3
015916,919,19.5,54
015917,858,16.9,57.5
016901,874,21.4,78.6
016902,999,20.4,74.6
017901,-1,21.3,95
018901,1031,20.8,53.6
018902,977,18.2,70.4
018903,-1,.,28.6
018904,1036,21,43.3
018905,.,18.6,61.5
018906,-1,-1,44.4
018907,1035,-1,57.9
018908,-1,-1,80
019901,.,19,67.7
019902,.,19.2,65.2
019903,-1,18.9,90.3
019905,981,20.3,75.3
