,SAT_avg,ACT_avg,SAT/ACT_pct,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
001902,1324,20.3,51,89,79,96,001902
001903,1445,17.8,55,96,88,96,001903
001904,1341,17.2,46,88,68,42,001904
001906,-1,21.5,31.6,89,70,93,001906
001907,1349,19.9,41,82,59,91,001907
001908,1403,19.3,53.9,87,58,88,001908
001909,1540,23,44,97,81,100,001909
002901,1405,18.8,43.5,75,60,89,002901
003801,.,.,0,78,76,95,003801
003902,1442,21.2,54.8,95,76,96,003902
003903,1533,20.3,40.9,84,67,92,003903
003904,1401,20.2,39.5,69,55,92,003904
003905,1419,18.8,45,82,63,81,003905
003906,1307,-1,58.1,84,63,89,003906
003907,1418,20.6,36.8,81,66,98,003907
004901,1404,20.5,57.4,76,63,96,004901
005901,1489,22.5,63.9,92,87,94,005901
005902,1552,22.1,72.3,89,82,98,005902
005904,1440,22.1,64.5,91,78,92,005904
006902,.,21.3,82.6,90,79,91,006902
007901,1195,-1,57.1,58,48,94,007901
007902,1403,20.8,48.6,69,68,85,007902
007904,1304,18.7,60.2,71,58,91,007904
007905,1388,20.5,39,65,50,86,007905
007906,1269,17.9,37.9,76,55,73,007906
008901,1479,21.9,67.5,88,77,95,008901
008902,1358,20,56.3,86,70,91,008902
008903,1384,19.1,52.1,82,70,89,008903
009901,-1,19.3,55.2,88,70,93,009901
010901,1262,18.1,76.7,85,90,100,010901
010902,1481,20.9,70.8,86,74,94,010902
011901,1380,20.1,44.4,84,63,91,011901
011902,1342,20,51.5,72,54,87,011902
011904,1404,20.6,53.5,81,72,97,011904
011905,.,.,.,89,.,.,011905
012901,-1,21.5,61.1,98,81,94,012901
013801,.,.,.,.,.,.,013801
013901,1416,19.3,34.3,64,55,86,013901
013902,.,.,.,.,.,.,013902
013903,1347,19.1,63,88,74,84,013903
013905,1437,20.3,50,93,84,93,013905
014801,1294,.,12.7,42,-1,78,014801
014802,.,.,0,46,79,76,014802
014803,1366,.,33.3,87,61,100,014803
014804,1391,19.8,45.3,81,86,97,014804
014901,1520,21.4,46.3,89,83,98,014901
014902,1204,-1,56.4,67,54,77,014902
014903,1485,22.1,50.7,90,74,94,014903
014905,1503,21.6,60.5,90,71,94,014905
014906,1388,20.1,56.6,76,67,94,014906
014907,1476,21.6,49.2,90,72,92,014907
014908,1542,23.2,65.5,94,77,96,014908
014909,1459,22.3,40.5,71,58,87,014909
014910,1409,20.4,61.2,91,81,96,014910
015801,1206,.,24.2,40,33,67,015801
015802,-1,15.3,19,97,66,88,015802
015803,-1,.,-1,-1,73,-1,015803
015805,.,.,.,.,.,.,015805
015806,1224,16.1,75.6,75,44,53,015806
015807,1305,.,5.7,43,43,66,015807
015808,.,.,-1,-1,-1,-1,015808
015809,.,.,.,.,.,.,015809
015814,-1,.,8.1,53,39,80,015814
015815,-1,.,5.3,90,71,94,015815
015816,-1,16.8,25.9,72,55,81,015816
