,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,dist_num,county_num,attendance
001902,52,61,53,33,81,527,24,635,59,102,154,14.1,12.3,11.7,34313,11.8,4.3,CAYUGA ISD,001902,001,97.1
001903,102,81,68,77,87,1018,42,1147,65,235,503,15.1,14.4,16,34311,12.5,7.3,ELKHART ISD,001903,001,96.2
001904,74,62,52,60,104,649,32,788,68,124,322,13.2,12.8,15.1,34934,11.5,6.3,FRANKSTON ISD,001904,001,96.4
001906,29,29,20,17,41,267,9,318,21,63,109,15.9,10.3,21.2,34852,13.2,8.3,NECHES ISD,001906,001,96.2
001907,288,237,256,188,1130,1448,766,3374,168,363,1988,19.2,16.9,19.3,35368,14.1,9.2,PALESTINE ISD,001907,001,96.1
001908,175,141,105,103,312,1351,170,1846,102,263,728,17.2,18.2,20.9,35176,15,8.9,WESTWOOD ISD,001908,001,95.6
001909,31,26,23,21,17,351,15,383,34,82,205,14.1,11.7,13.1,35429,11.5,5.2,SLOCUM ISD,001909,001,96.7
002901,267,263,253,238,48,1436,1654,3166,292,680,1236,16.5,18.2,18.3,42900,14.7,10.4,ANDREWS ISD,002901,002,96
003801,8,0,0,0,12,229,18,275,0,20,12,12.4,17.4,26.3,28390,6.8,0.5,PINEYWOODS COMMUNITY ACADEMY,003801,003,95.3
003902,171,167,148,139,91,1739,409,2251,112,261,1078,17.9,16.4,19.4,34705,12.5,7.3,HUDSON ISD,003902,003,96.4
003903,608,613,553,509,2584,3409,1928,8019,724,1051,4512,19.9,19.8,22.2,35203,13.7,9.8,LUFKIN ISD,003903,003,96.2
003904,159,150,93,103,68,1505,38,1616,120,300,731,23.2,23.6,20.8,34715,12,8.2,HUNTINGTON ISD,003904,003,96.1
003905,145,138,118,96,332,793,747,1873,84,254,1165,19.7,20.5,20.9,34228,12.6,8.3,DIBOLL ISD,003905,003,96.5
003906,31,37,27,16,0,479,4,484,15,101,238,16.2,13.1,18.2,34098,10.5,6.5,ZAVALLA ISD,003906,003,95.4
003907,122,110,109,92,35,1429,143,1613,73,251,588,24.3,23.5,26,36339,12.4,7.5,CENTRAL,003907,003,96.3
004901,293,285,216,197,79,2093,1010,3360,251,467,1615,18.3,16,18.7,36811,13,6.9,ARANSAS COUNTY ISD,004901,004,95.4
005901,38,56,43,45,0,544,19,564,45,72,143,16.7,15,17.9,34864,13.3,8.1,ARCHER CITY ISD,005901,005,96.9
005902,78,75,77,80,2,924,25,953,60,56,157,15.2,14.1,17.4,36092,13.9,8.8,HOLLIDAY ISD,005902,005,97.1
005903,2,4,6,9,1,55,3,60,1,8,44,6,3.8,5.3,32188,9.1,6.1,MEGARGEL ISD,005903,005,94.2
005904,25,36,29,30,0,359,75,435,35,40,159,13.5,12.8,14.4,34551,9.7,7.7,WINDTHORST ISD,005904,005,98.2
006902,37,31,30,28,2,370,21,394,29,60,122,11.7,10.2,15.2,34813,11.2,5.9,CLAUDE ISD,006902,006,97.1
007901,35,41,35,27,0,81,405,487,32,71,380,13.8,9.8,15.7,36323,12,7.4,CHARLOTTE ISD,007901,007,95.8
007902,127,93,83,74,2,567,724,1300,73,185,727,16.8,18,16.6,37869,13.2,7.3,JOURDANTON ISD,007902,007,95.9
007904,116,124,97,81,4,480,1001,1492,114,209,915,15.6,16.6,16.5,35739,10.1,5.5,LYTLE ISD,007904,007,95
007905,278,280,235,226,25,1293,2148,3477,225,588,1976,18.3,16.8,20.8,36101,11,7,PLEASANTON ISD,007905,007,95.7
007906,145,107,95,82,3,267,1310,1586,66,242,1115,15.5,15.2,18.8,36019,12.2,7.7,POTEET ISD,007906,007,95.1
008901,203,164,152,173,318,1545,307,2179,158,291,593,17.4,19.6,20.7,35931,13.6,8.7,BELLVILLE ISD,008901,008,96.5
008902,203,202,141,144,350,1277,684,2331,111,319,955,18.8,19.8,20.8,38985,11.8,8.1,SEALY ISD,008902,008,97.1
008903,80,79,72,65,138,486,263,888,21,156,369,15.5,13.7,14.6,37430,14.5,9.2,BRAZOS ISD,008903,008,96.4
009901,116,90,111,87,23,455,943,1423,95,213,908,15.5,15.3,17.7,35336,12.3,7.8,MULESHOE ISD,009901,009,96.3
009903,13,8,8,10,0,42,50,92,4,8,70,8.3,4.9,7.2,33637,10.1,5.4,THREE WAY ISD,009903,009,96.6
010901,36,29,26,21,4,286,44,334,13,79,149,11.7,13,12.4,34326,12.9,6.5,MEDINA ISD,010901,010,97.2
010902,286,183,158,155,14,2091,463,2591,253,421,956,19.1,20,21.5,35611,10.8,4.8,BANDERA ISD,010902,010,95.7
011901,564,501,375,317,681,3839,1888,6486,363,883,2590,21.5,21.3,22.6,37680,10.2,5.4,BASTROP ISD,011901,011,94.9
011902,336,204,166,153,375,1272,1176,2843,134,386,1430,18.5,19.6,19.9,37091,11.3,6,ELGIN ISD,011902,011,95.4
011904,182,121,98,91,207,1323,328,1871,16,315,811,17.3,16.2,19.1,36215,10.7,5.8,SMITHVILLE ISD,011904,011,95.4
011905,0,0,0,0,7,137,88,234,17,19,124,16.5,16.5,16.5,32418,7.9,3.2,MCDADE ISD,011905,011,96.9
012901,56,60,47,58,45,570,109,726,36,113,366,14.4,14.5,16.9,35722,16.4,11.2,SEYMOUR ISD,012901,012,96.4
013901,392,268,289,251,149,938,2821,3933,232,453,2501,18.2,18.3,20,36714,12,8.8,BEEVILLE ISD,013901,013,95.6
013902,0,0,0,0,0,47,70,120,7,17,63,14,9.3,14,36719,13.8,10.4,PAWNEE ISD,013902,013,97.8
013903,36,39,43,37,2,243,165,410,48,71,250,16.3,16.1,18.7,35296,11.5,6.2,PETTUS ISD,013903,013,96.1
013905,64,46,60,64,5,271,413,689,82,109,396,15.6,18.5,16.1,34656,10.2,5.3,SKIDMORE-TYNAN ISD,013905,013,96.1
014801,11,38,23,28,35,38,21,100,0,1,38,15,15.5,13,27710,8.2,0.6,KILLEEN-RICHARD MILBURN ALTER HIGH,014801,014,77.2
014802,9,23,20,21,20,33,18,73,0,1,0,.,.,.,21778,11,1.1,TRANSFORMATIVE CHARTER ACADEMY,014802,014,87.9
014803,8,0,0,0,34,39,15,89,0,23,47,.,.,.,19000,0,0,TOVAS-TACTILE ORAL VISUAL ALTERNAT,014803,014,96.7
014901,86,82,85,58,8,799,113,924,105,180,212,17.8,17.7,17.8,36071,12.7,7.5,ACADEMY ISD,014901,014,96.4
014902,68,41,36,33,95,230,225,551,48,95,331,13.7,14.6,13.6,36146,11.8,8.3,BARTLETT ISD,014902,014,95.6
014903,582,507,464,391,345,4560,1600,6608,575,1011,2775,22.3,21.9,24.1,35756,13.8,8.2,BELTON ISD,014903,014,96.2
014905,38,32,47,44,14,361,79,459,38,69,198,15.4,11.8,13.8,37931,14.8,8.1,HOLLAND ISD,014905,014,96.1
014906,1972,1769,1639,1423,11974,11160,5106,29687,2287,3637,14580,21.4,20,21.2,37082,9.8,7,KILLEEN ISD,014906,014,96.2
014907,78,80,53,60,17,683,134,834,86,141,314,15.9,14.6,16.3,34196,12.4,8.6,ROGERS ISD,014907,014,96.7
014908,85,76,72,63,4,816,138,967,94,92,171,15.8,16.5,18,36057,11.3,4.8,SALADO ISD,014908,014,96.7
014909,862,598,471,367,2405,3867,2040,8450,561,1391,4270,19.6,20.4,21.5,34967,12.2,8.2,TEMPLE ISD,014909,014,95.9
014910,124,90,91,76,19,985,260,1276,102,214,442,19.7,16.3,21.9,35334,12.4,8.1,TROY ISD,014910,014,96.3
015801,49,57,40,37,3,7,172,183,0,10,152,16.9,15.5,20,28520,3.8,1,BLESSED SACRAMENT ACAD CHARTER H S,015801,015,76.5
015802,51,56,43,34,83,23,75,184,0,20,143,15.1,13.3,14.8,21714,13.8,2.2,BUILDING ALTERNATIVES CHARTER,015802,015,73.3
015803,0,0,0,0,32,7,154,194,0,19,175,.,.,.,21550,5.8,1.6,"HIGGS, CARTER, KING GIFTED & TALEN",015803,015,93.1
015805,0,0,0,0,12,52,717,784,0,70,642,.,.,.,32470,5.2,0.7,NEW FRONTIERS CHARTER SCHOOL,015805,015,93.4
015806,69,48,1,0,91,116,615,826,0,26,554,19.3,21.6,21.1,26136,1,0.6,SCHOOL OF EXCELLENCE IN EDUCATION,015806,015,95.2
