,gr3_stu_count,gr4_stu_count,gr5_stu_count,gr6_stu_count,gr7_stu_count,gr8_stu_count,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,gr3_class_size,gr4_class_size,gr5_class_size,gr6_class_size,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_district,attendance
001902,45,34,44,47,40,33,48,45,47,48,24,568,4,471,63,78,192,15,10.3,14.7,15.1,11.4,11.6,11.4,15.1,45359,54.4,001,N,96
001903,76,81,88,93,105,101,103,88,103,74,67,1244,11,1012,45,144,681,14.9,15.4,16.9,15.3,11.7,13.9,15.7,14.2,44248,100.3,001,N,96.5
001904,57,64,72,68,48,59,65,66,53,47,74,841,6,638,60,69,475,18.9,15.1,22.3,18,14.1,14.4,13.7,14.2,43165,58.1,001,N,95.9
001906,32,28,27,28,25,34,30,27,23,33,32,383,3,296,26,42,164,16,14,13.5,13.3,11.5,8.8,11.5,11,43988,34.5,001,N,95.5
001907,278,247,235,254,243,236,278,238,236,175,914,3385,27,945,92,289,2507,20.2,20.5,16.6,17.3,15.2,18.9,20.1,10.1,42666,270.3,001,N,95.8
001908,106,127,120,118,118,123,119,120,103,96,286,1609,8,857,36,159,1010,16.8,20,18.7,18.9,12.6,12.7,15.1,12.2,42242,130,001,N,96
001909,38,29,31,28,34,34,26,27,23,26,9,414,1,370,20,54,198,18.4,14.1,14.2,13.2,14.1,12.7,13.5,14.4,45664,39.2,001,N,96.9
002901,344,291,310,318,324,279,305,255,261,228,45,3968,16,1154,180,258,1575,20.1,17.4,22.3,21.3,15.1,19,20.3,13.2,55014,279.2,002,N,95.7
003801,84,86,86,83,70,70,63,52,39,41,166,966,22,570,75,58,451,20.3,21.5,20.9,20.8,16.6,16,15,7.9,45325,63.5,003,Y,96
003902,227,203,223,209,208,209,226,214,193,176,184,2778,23,1836,150,212,1486,20,17.9,21.5,20.4,20.6,18.8,20.9,13.1,48584,193.2,003,N,96.1
