,DISTRICT,YEAR,ACT,per_stud_tax_rev,per_stud_state_rev,per_stud_fed_rev,per_stud_other_rev
0,1907,2003,20.1,3219.0,3346.0,1082.0,334.0
1,1907,2004,19.9,3409.0,3146.0,1046.0,290.0
2,1907,2005,20.3,3448.0,3100.0,1006.0,320.0
3,1907,2006,20.1,3620.0,3318.0,1102.0,335.0
4,1907,2007,21.2,3649.0,3559.0,1076.0,453.0
5,1907,2008,18.7,3613.0,4375.0,1177.0,358.0
6,1907,2009,21.1,3849.0,4085.0,1229.0,317.0
7,1907,2010,20.8,4780.0,4223.0,1481.0,423.0
8,1907,2011,20.2,4780.0,4223.0,1481.0,423.0
9,1907,2012,21.2,4842.0,3718.0,1725.0,365.0
10,1907,2013,19.7,4886.0,4108.0,1751.0,324.0
11,1907,2014,19.9,4981.0,4525.0,2312.0,303.0
12,1907,2015,20.1,4790.0,4780.0,1550.0,330.0
13,1907,2016,19.1,4798.0,5337.0,1704.0,472.0
14,2901,2003,18.9,6956.0,849.0,1204.0,463.0
15,2901,2004,19.5,7298.0,845.0,699.0,372.0
16,2901,2005,20.3,7654.0,893.0,820.0,609.0
17,2901,2006,20.0,8308.0,1000.0,761.0,890.0
18,2901,2007,20.8,8583.0,1658.0,778.0,1225.0
19,2901,2008,19.9,6973.0,3169.0,778.0,807.0
20,2901,2009,19.1,7556.0,2646.0,766.0,412.0
21,2901,2010,19.0,9104.0,1743.0,848.0,303.0
22,2901,2011,22.9,9104.0,1743.0,848.0,303.0
23,2901,2012,21.0,8093.0,1930.0,701.0,293.0
24,2901,2013,20.8,9841.0,623.0,657.0,330.0
25,2901,2014,18.8,9418.0,1148.0,715.0,332.0
26,2901,2015,19.9,10374.0,836.0,642.0,384.0
27,2901,2016,19.7,6574.0,3512.0,643.0,350.0
28,3902,2003,21.0,1202.0,5073.0,553.0,559.0
29,3902,2004,19.6,1307.0,5044.0,651.0,686.0
30,3902,2005,19.6,1395.0,4962.0,698.0,643.0
31,3902,2006,19.9,1499.0,5063.0,752.0,627.0
32,3902,2007,19.8,1480.0,5551.0,716.0,804.0
33,3902,2008,20.2,1234.0,6052.0,777.0,790.0
34,3902,2009,19.2,1448.0,6314.0,818.0,704.0
35,3902,2010,18.7,1666.0,6505.0,1189.0,556.0
36,3902,2011,21.8,1666.0,6505.0,1189.0,556.0
37,3902,2012,21.6,1731.0,6034.0,1052.0,614.0
38,3902,2013,20.7,1712.0,6003.0,916.0,632.0
39,3902,2014,21.2,1824.0,6481.0,905.0,687.0
40,3902,2015,21.2,2005.0,6260.0,861.0,592.0
41,3902,2016,21.1,2044.0,6634.0,883.0,659.0
42,3903,2003,17.3,3255.0,3049.0,848.0,294.0
43,3903,2004,17.3,3335.0,2976.0,886.0,290.0
44,3903,2005,18.0,3251.0,3077.0,948.0,330.0
45,3903,2006,17.1,3308.0,3174.0,949.0,379.0
46,3903,2007,17.2,3136.0,3614.0,960.0,432.0
47,3903,2008,17.9,2517.0,4355.0,1059.0,376.0
48,3903,2009,17.5,2712.0,4459.0,1091.0,297.0
49,3903,2010,19.1,2943.0,4542.0,1397.0,299.0
50,3903,2011,19.6,2943.0,4542.0,1397.0,299.0
51,3903,2012,17.8,3006.0,4133.0,1362.0,241.0
52,3903,2013,18.6,3112.0,4059.0,1270.0,242.0
53,3903,2014,20.3,3353.0,4632.0,1144.0,215.0
54,3903,2015,20.3,3316.0,4620.0,1125.0,273.0
55,3903,2016,19.0,3323.0,5161.0,1193.0,377.0
56,4901,2003,18.4,5741.0,1481.0,963.0,269.0
57,4901,2004,20.2,6453.0,1303.0,1138.0,477.0
58,4901,2005,19.8,6620.0,874.0,1185.0,374.0
59,4901,2006,21.1,6802.0,862.0,1222.0,507.0
60,4901,2007,21.2,7344.0,1763.0,1122.0,555.0
61,4901,2008,20.7,5788.0,3259.0,1254.0,538.0
62,4901,2009,20.0,5885.0,3566.0,1275.0,439.0
63,4901,2010,19.8,6901.0,3080.0,1450.0,425.0
64,4901,2011,19.6,6901.0,3080.0,1450.0,425.0
65,4901,2012,19.6,6972.0,2691.0,1437.0,433.0
66,4901,2013,20.7,7520.0,2016.0,1356.0,437.0
67,4901,2014,20.5,7943.0,1760.0,1295.0,410.0
68,4901,2015,20.3,8187.0,1662.0,1272.0,433.0
69,4901,2016,21.0,8272.0,1432.0,1268.0,416.0
70,7905,2003,19.8,1748.0,5108.0,1035.0,619.0
71,7905,2004,20.8,1791.0,5067.0,1215.0,529.0
72,7905,2005,20.4,1941.0,4737.0,1268.0,718.0
73,7905,2006,20.1,2103.0,4639.0,1353.0,749.0
74,7905,2007,19.8,2148.0,5012.0,1192.0,850.0
75,7905,2008,20.1,2002.0,5118.0,1162.0,846.0
76,7905,2009,20.1,2126.0,5151.0,1573.0,703.0
77,7905,2010,20.4,2354.0,5353.0,2316.0,715.0
78,7905,2011,21.0,2354.0,5353.0,2316.0,715.0
79,7905,2012,20.6,2760.0,4774.0,2167.0,681.0
80,7905,2013,20.4,3634.0,4870.0,1809.0,727.0
81,7905,2014,20.5,5713.0,4085.0,1488.0,685.0
82,7905,2015,20.1,7058.0,2272.0,1430.0,788.0
83,7905,2016,19.9,8434.0,1252.0,1594.0,617.0
84,8901,2003,20.8,3490.0,3322.0,354.0,375.0
85,8901,2004,20.6,3625.0,2738.0,367.0,360.0
86,8901,2005,20.8,3947.0,2981.0,374.0,473.0
87,8901,2006,19.7,4750.0,2866.0,420.0,702.0
88,8901,2007,22.6,5177.0,3109.0,377.0,663.0
89,8901,2008,21.9,4479.0,4053.0,377.0,573.0
90,8901,2009,22.5,5224.0,3361.0,596.0,960.0
91,8901,2010,22.7,5767.0,3040.0,905.0,1085.0
92,8901,2011,23.3,5767.0,3040.0,905.0,1085.0
93,8901,2012,21.8,5925.0,2675.0,681.0,775.0
94,8901,2013,22.7,6458.0,2394.0,752.0,679.0
95,8901,2014,21.9,6293.0,2658.0,781.0,769.0
96,8901,2015,21.8,6454.0,2823.0,792.0,636.0
97,8901,2016,21.1,6109.0,3251.0,819.0,522.0
98,8902,2003,20.1,2924.0,3842.0,678.0,573.0
99,8902,2004,19.6,3075.0,4115.0,819.0,500.0
100,8902,2005,19.7,3337.0,4056.0,1133.0,470.0
101,8902,2006,20.6,3960.0,4230.0,1131.0,698.0
102,8902,2007,19.9,4898.0,4452.0,970.0,593.0
103,8902,2008,20.2,4362.0,4806.0,1138.0,573.0
