,SAT_3,ACT_3,SAT_4,ACT_4,SAT_5,ACT_5,SAT_6,ACT_6,SAT_7,ACT_7,SAT_8,ACT_8,SAT_9,ACT_9,SAT_10,ACT_10,SAT_11,ACT_11,SAT_12,ACT_12,SAT_13,ACT_13,SAT_14,ACT_14,SAT_15,ACT_15,SAT_16,ACT_16,SAT_17,ACT_17,SAT_NaNs,ACT_NaNs
1907,936,20.1,937,19.9,952,20.3,971,20.1,1013,21.2,974,18.7,996,21.1,971,20.8,878,20.2,978,21.2,1392,19.7,1349,19.9,1389,20.1,1311,19.1,1347,19.8,0,0
2901,919,18.9,931,19.5,942,20.3,971,20,981,20.8,958,19.9,961,19.1,931,19,946,22.9,944,21,1495,20.8,1405,18.8,1430,19.9,1431,19.7,1417,20.7,0,0
3902,1014,21,1003,19.6,1007,19.6,1001,19.9,957,19.8,973,20.2,970,19.2,964,18.7,980,21.8,979,21.6,1410,20.7,1442,21.2,1450,21.2,1448,21.1,1445,22.4,0,0
3903,947,17.3,956,17.3,967,18,966,17.1,967,17.2,972,17.9,979,17.5,978,19.1,981,19.6,954,17.8,1473,18.6,1533,20.3,1504,20.3,1401,19,1373,19.9,0,0
4901,966,18.4,999,20.2,1009,19.8,1023,21.1,1048,21.2,1008,20.7,983,20,975,19.8,970,19.6,927,19.6,1374,20.7,1404,20.5,1397,20.3,1376,21,1402,20.2,0,0
7905,967,19.8,968,20.8,946,20.4,984,20.1,953,19.8,1001,20.1,996,20.1,1007,20.4,951,21,930,20.6,1390,20.4,1388,20.5,1351,20.1,1341,19.9,1332,19.2,0,0
8901,1015,20.8,1039,20.6,1001,20.8,979,19.7,1024,22.6,997,21.9,1059,22.5,1042,22.7,1012,23.3,1015,21.8,1474,22.7,1479,21.9,1457,21.8,1499,21.1,1449,20.5,0,0
8902,987,20.1,1014,19.6,985,19.7,993,20.6,996,19.9,966,20.2,963,21,987,20.6,977,19.4,938,19.6,1358,19.6,1358,20,1411,20.7,1436,20.8,1341,19.6,0,0
10902,1006,21.1,983,20.9,995,20.8,1002,21,1023,21.6,986,20,986,20.9,1020,22.7,978,20.7,1013,23.1,1423,20.8,1481,20.9,1477,22,1506,22,1479,22.1,0,0
11901,980,18.9,978,18.6,975,19.9,979,19.5,975,18.9,976,19.8,939,19.5,930,18.5,964,20.8,942,19.4,1405,20,1380,20.1,1388,20,1364,19,1358,18.7,0,0
11902,968,19.2,914,18,937,19.3,984,20.2,928,18.5,915,18.5,939,17.8,927,19.8,931,19.4,941,19,1362,17.8,1342,20,1405,20.1,1332,18.7,1258,17.6,0,0
13901,919,18.1,975,18.1,995,17.9,966,17.3,926,18.6,966,17.8,1024,18,1066,19.3,1008,17.8,989,18.4,1475,19.6,1416,19.3,1485,19.3,1375,18.2,1347,17.8,0,0
14903,1014,19.4,1037,18.7,1061,19.2,1056,18.7,1027,18.3,1030,20,1015,21.5,1026,22.7,1024,22.3,1020,22.7,1465,22.6,1485,22.1,1465,21.6,1454,21.5,1469,21.9,0,0
14906,934,19.6,921,19.1,930,19.5,944,19.3,939,19.4,942,19.6,940,20,951,19.2,945,19.8,936,19.7,1376,20,1388,20.1,1378,19.6,1382,19.6,1368,19.6,0,0
14909,1024,21.5,1015,20.9,1017,20.5,1020,20.9,1092,22.6,1026,21.7,1023,22.4,1032,22.9,1030,22.5,1021,22.2,1448,21.6,1459,22.3,1458,21.1,1430,21.7,1372,20.5,0,0
15901,1129,23.2,1130,24.1,1113,22.3,1107,23,1123,23.8,1126,23.6,1125,24,1134,24.6,1122,24.2,1107,24.2,1644,23.9,1639,24.7,1646,24.7,1628,24.5,1601,24,0,0
15904,801,16.9,826,16.9,818,17.9,832,17.4,847,19,848,18.1,845,17.8,864,17.3,842,17.1,865,18.8,1269,17.9,1163,17.4,1171,18.4,1120,17.4,1117,17.7,0,0
15905,809,15.4,791,15.3,823,16.8,814,16.4,831,16.5,834,16.2,780,16.3,814,16.1,819,15.8,802,17.8,1166,16.1,1169,16.3,1168,16.9,1174,17,1163,18.1,0,0
15907,810,17,802,16.9,814,16.9,831,17,838,16.9,834,16.5,811,16.7,833,17.2,833,16.5,828,16.7,1217,17,1210,16.7,1201,16.7,1186,16.3,1200,16.9,0,0
15908,812,16.1,818,17.2,806,18.3,817,17,822,17.2,828,17.4,848,18.1,863,18.4,879,18.2,860,17.9,1258,17.7,1257,17.2,1261,17.9,1245,18.2,1131,17.9,0,0
15909,902,20.7,864,18.1,893,19,923,19.4,927,16.9,849,16.9,835,16.8,816,17.3,836,17.9,833,17.5,1238,18,1202,15.5,1231,17,1210,18.2,1135,18.2,0,0
15910,1017,20.8,1021,21.4,1028,21.8,1032,21.5,1033,22.3,1024,21.7,1037,22.3,1032,22,1028,22.3,1022,22.3,1508,21.9,1492,21.6,1491,22.4,1499,22.3,1465,22.2,0,0
15911,919,19.3,932,19.5,938,20.4,953,19.8,950,19.8,936,18.8,915,19.6,920,20.2,914,19.9,909,19.8,1333,19.5,1317,19.3,1326,18.9,1334,19.3,1318,18.8,0,0
15912,850,18.2,857,18,868,19.5,854,18.3,871,19.7,882,17.8,862,17.9,849,18.1,836,18.7,844,17.1,1324,18.3,1272,18,1133,17.8,1128,18.3,1104,18.5,0,0
